calendar-year,setting-1,need-1,academic-year-1,setting-2,need-2,academic-year-2
2013,NONSEND,NONSEND,-3,P,U,-2
2013,B,X,5,B,X,6
2013,B,Y,6,B,Y,7
2013,A,U,6,A,U,7
2013,F,T,3,B,T,4
2013,B,T,7,B,T,8
2013,A,U,0,A,U,1
2013,N,U,10,N,U,11
2013,A,U,6,A,U,7
2013,R,X,9,R,X,10
2013,B,V,3,B,V,4
2013,B,X,10,N,X,11
2013,H,T,10,H,T,11
2013,B,T,5,A,T,6
2013,B,T,1,B,T,2
2013,D,X,9,D,X,10
2013,B,T,8,B,T,9
2013,L,X,9,L,X,10
2013,B,T,10,B,T,11
2013,L,U,10,L,U,11
2013,G,V,10,G,V,11
2013,B,T,3,B,T,4
2013,B,T,6,B,T,7
2013,A,T,0,A,T,1
2013,B,T,0,B,T,1
2013,NONSEND,NONSEND,0,B,T,1
2013,B,T,3,B,T,4
2013,I,T,4,I,T,5
2013,A,T,9,A,T,10
2013,B,T,3,B,T,4
2013,I,T,5,I,T,6
2013,B,X,5,B,X,6
2013,B,T,1,B,T,2
2013,B,T,6,B,T,7
2013,A,T,5,A,T,6
2013,B,T,11,B,T,12
2013,NONSEND,NONSEND,-1,B,T,0
2013,B,U,7,B,U,8
2013,J,T,12,NONSEND,NONSEND,13
2013,B,T,5,B,T,6
2013,B,T,4,B,T,5
2013,A,Y,12,A,Y,13
2013,B,U,11,NONSEND,NONSEND,12
2013,B,U,9,B,U,10
2013,L,T,8,L,T,9
2013,NONSEND,NONSEND,3,F,T,4
2013,F,X,10,F,X,11
2013,Q,U,-1,I,U,0
2013,NONSEND,NONSEND,-3,J,T,-2
2013,NONSEND,NONSEND,0,B,U,1
2013,L,U,9,L,U,10
2013,B,U,3,B,U,4
2013,A,T,4,A,T,5
2013,B,T,3,B,T,4
2013,A,T,8,A,T,9
2013,B,V,5,B,V,6
2013,J,T,4,J,T,5
2013,B,U,5,B,U,6
2013,A,T,3,A,T,4
2013,NONSEND,NONSEND,4,B,U,5
2013,NONSEND,NONSEND,-2,B,X,-1
2013,B,U,5,B,U,6
2013,B,T,3,B,T,4
2013,B,T,14,NONSEND,NONSEND,15
2013,E,W,12,E,W,13
2013,A,U,1,A,U,2
2013,B,T,10,B,T,11
2013,B,T,10,B,T,11
2013,NONSEND,NONSEND,1,G,U,2
2013,L,T,7,L,T,8
2013,B,T,10,B,T,11
2013,NONSEND,NONSEND,-3,J,T,-2
2013,B,T,2,B,T,3
2013,B,T,6,B,T,7
2013,F,T,0,F,T,1
2013,B,Y,9,B,Y,10
2013,B,U,5,B,U,6
2013,B,T,0,B,T,1
2013,B,T,4,B,T,5
2013,B,T,8,B,T,9
2013,B,V,5,B,V,6
2013,B,T,10,B,T,11
2013,B,V,11,NONSEND,NONSEND,12
2013,B,T,2,B,T,3
2013,B,X,3,B,X,4
2013,A,T,11,A,T,12
2013,B,Y,5,B,Y,6
2013,E,U,7,E,U,8
2013,B,T,6,B,T,7
2013,B,W,6,B,W,7
2013,NONSEND,NONSEND,0,B,T,1
2013,E,X,8,E,X,9
2013,A,T,1,A,T,2
2013,B,U,11,NONSEND,NONSEND,12
2013,A,U,7,A,U,8
2013,B,U,12,NONSEND,NONSEND,13
2013,NONSEND,NONSEND,5,A,T,6
2013,NONSEND,NONSEND,0,B,X,1
2013,NONSEND,NONSEND,5,B,T,6
2013,B,T,6,B,T,7
2013,I,X,10,N,X,11
2013,B,Y,9,B,Y,10
2013,B,T,5,B,T,6
2013,NONSEND,NONSEND,0,F,Y,1
2013,A,U,5,A,U,6
2013,A,U,-2,A,U,-1
2013,B,T,9,B,T,10
2013,B,T,7,B,T,8
2013,B,V,9,B,V,10
2013,B,T,1,B,T,2
2013,B,W,8,B,W,9
2013,A,U,-2,A,U,-1
2013,F,Y,5,H,Y,6
2013,NONSEND,NONSEND,-1,B,T,0
2013,NONSEND,NONSEND,-3,A,U,-2
2013,R,T,12,R,T,13
2013,B,T,1,B,T,2
2013,L,U,9,L,U,10
2013,B,T,6,B,T,7
2013,B,T,1,B,T,2
2013,D,T,12,J,T,13
2013,A,U,4,A,U,5
2013,B,X,7,NONSEND,NONSEND,8
2013,B,T,9,B,T,10
2013,NONSEND,NONSEND,10,B,X,11
2013,NONSEND,NONSEND,-1,B,T,0
2013,NONSEND,NONSEND,-1,B,T,0
2013,J,Y,4,J,Y,5
2013,J,T,-1,B,T,0
2013,B,T,1,B,T,2
2013,NONSEND,NONSEND,-1,B,T,0
2013,B,T,12,B,T,13
2013,J,T,-1,B,T,0
2013,NONSEND,NONSEND,1,B,T,2
2013,B,U,3,B,U,4
2013,R,X,10,NONSEND,NONSEND,11
2013,B,T,6,B,T,7
2013,A,U,5,A,U,6
2013,B,U,-1,B,U,0
2013,A,U,6,A,U,7
2013,A,U,12,A,U,13
2013,B,T,2,B,T,3
2013,L,U,4,L,U,5
2013,L,U,9,L,U,10
2013,B,T,10,B,T,11
2013,A,X,10,A,X,11
2013,B,T,4,B,T,5
2013,B,X,10,E,X,11
2013,G,T,9,G,T,10
2013,C,T,10,C,T,11
2013,B,U,11,B,U,12
2013,B,T,1,B,T,2
2013,B,T,3,B,T,4
2013,A,T,8,A,T,9
2013,B,T,3,B,T,4
2013,A,W,4,A,W,5
2013,B,Y,8,B,Y,9
2013,B,T,-1,B,T,0
2013,B,U,7,B,U,8
2013,B,W,9,B,W,10
2013,P,Y,-3,P,Y,-2
2013,B,T,3,B,T,4
2013,B,T,1,B,T,2
2013,B,T,1,NONSEND,NONSEND,2
2013,B,X,9,B,X,10
2013,B,X,11,NONSEND,NONSEND,12
