calendar-year,academic-year,population
2018,-4,9639
2018,-3,9142
2018,-2,8773
2018,-1,8524
2018,0,8407
2018,1,8949
2018,2,8882
2018,3,8331
2018,4,8102
2018,5,7541
2018,6,7301
2018,7,7084
2018,8,6871
2018,9,6296
2018,10,6275
2018,11,6362
2018,12,6143
2018,13,6023
2018,14,6233
2018,15,8232
2018,16,9489
2018,17,10366
2018,18,11040
2018,19,12557
2018,20,14421
2018,21,16131
2019,-4,9856
2019,-3,9369
2019,-2,8919
2019,-1,8609
2019,0,8392
2019,1,8361
2019,2,8878
2019,3,8778
2019,4,8259
2019,5,8016
2019,6,7434
2019,7,7229
2019,8,6969
2019,9,6799
2019,10,6243
2019,11,6302
2019,12,6401
2019,13,6214
2019,14,6455
2019,15,7881
2019,16,9395
2019,17,10239
2019,18,11150
2019,19,12532
2019,20,14312
2019,21,16188
2020,-4,10095
2020,-3,9741
2020,-2,9275
2020,-1,8870
2020,0,8574
2020,1,8430
2020,2,8377
2020,3,8835
2020,4,8752
2020,5,8230
2020,6,7940
2020,7,7406
2020,8,7153
2020,9,6939
2020,10,6773
2020,11,6315
2020,12,6382
2020,13,6522
2020,14,6797
2020,15,8766
2020,16,9723
2020,17,10774
2020,18,11829
2020,19,13711
2020,20,15419
2020,21,17221
2021,-4,10548
2021,-3,9925
2021,-2,9589
2021,-1,9178
2021,0,8800
2021,1,8588
2021,2,8426
2021,3,8337
2021,4,8790
2021,5,8694
2021,6,8138
2021,7,7886
2021,8,7315
2021,9,7113
2021,10,6902
2021,11,6823
2021,12,6392
2021,13,6495
2021,14,7066
2021,15,8875
2021,16,10334
2021,17,10906
2021,18,12098
2021,19,14024
2021,20,16222
2021,21,17943
2022,-4,10835
2022,-3,10283
2022,-2,9714
2022,-1,9432
2022,0,9059
2022,1,8779
2022,2,8559
2022,3,8360
2022,4,8287
2022,5,8708
2022,6,8570
2022,7,8065
2022,8,7764
2022,9,7255
2022,10,7062
2022,11,6939
2022,12,6873
2022,13,6491
2022,14,7002
2022,15,8948
2022,16,10187
2022,17,11209
2022,18,11923
2022,19,13899
2022,20,16100
2022,21,18277
2023,-4,11033
2023,-3,10590
2023,-2,10081
2023,-1,9581
2023,0,9325
2023,1,9050
2023,2,8761
2023,3,8507
2023,4,8322
2023,5,8235
2023,6,8591
2023,7,8496
2023,8,7948
2023,9,7701
2023,10,7211
2023,11,7110
2023,12,6998
2023,13,6974
2023,14,7057
2023,15,9144
2023,16,10463
2023,17,11209
2023,18,12348
2023,19,13994
2023,20,16281
2023,21,18457
