calendar-year,ay-group,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,NCY 1-6,971.0,0.0,0.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0
2017,NCY 7-11,788.0,0.0,0.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0
2017,NCY 14+,127.0,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
2017,NCY 12-13,218.0,0.0,0.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
2017,NCY < 1,173.0,0.0,0.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0
2018,NCY 1-6,1018.8,13.63,9.0,996.0,996.0,1014.0,1016.0,1023.0,1040.0,1040.0,1010.35,1027.25
2018,NCY 7-11,836.5,14.7,20.0,810.0,810.0,825.0,834.0,845.0,859.0,859.0,827.39,845.61
2018,NCY 14+,185.4,6.92,9.0,172.0,172.0,182.0,187.0,191.0,193.0,193.0,181.11,189.69
2018,NCY 12-13,228.8,8.2,11.0,215.0,215.0,224.0,226.0,235.0,244.0,244.0,223.72,233.88
2018,NCY < 1,176.3,11.53,14.0,152.0,152.0,171.0,175.0,185.0,195.0,195.0,169.15,183.45
2019,NCY 7-11,877.3,13.18,19.0,852.0,852.0,869.0,879.0,888.0,896.0,896.0,869.13,885.47
2019,NCY 1-6,1058.7,22.48,19.0,1013.0,1013.0,1051.0,1063.0,1070.0,1090.0,1090.0,1044.77,1072.63
2019,NCY 12-13,249.9,13.76,29.0,233.0,233.0,236.0,243.0,265.0,268.0,268.0,241.37,258.43
2019,NCY 14+,228.8,12.36,5.0,203.0,203.0,226.0,228.0,231.0,251.0,251.0,221.14,236.46
2019,NCY < 1,172.0,20.81,38.0,144.0,144.0,153.0,165.0,191.0,207.0,207.0,159.1,184.9
2020,NCY 1-6,1074.1,37.99,43.0,993.0,993.0,1051.0,1074.0,1094.0,1138.0,1138.0,1050.55,1097.65
2020,NCY 7-11,916.4,19.41,34.0,890.0,890.0,902.0,905.0,936.0,948.0,948.0,904.37,928.43
2020,NCY 12-13,289.8,18.13,36.0,266.0,266.0,272.0,284.0,308.0,321.0,321.0,278.56,301.04
2020,NCY 14+,263.6,20.76,23.0,226.0,226.0,252.0,266.0,275.0,301.0,301.0,250.73,276.47
2020,NCY < 1,182.0,19.59,29.0,153.0,153.0,169.0,179.0,198.0,213.0,213.0,169.86,194.14
2021,NCY 1-6,1085.4,53.18,83.0,1009.0,1009.0,1038.0,1062.0,1121.0,1184.0,1184.0,1052.44,1118.36
2021,NCY 7-11,992.7,18.07,32.0,972.0,972.0,977.0,982.0,1009.0,1030.0,1030.0,981.5,1003.9
2021,NCY 12-13,284.8,21.12,26.0,248.0,248.0,271.0,288.0,297.0,322.0,322.0,271.71,297.89
2021,NCY < 1,185.6,16.79,28.0,157.0,157.0,174.0,184.0,202.0,210.0,210.0,175.19,196.01
2021,NCY 14+,295.8,25.03,35.0,258.0,258.0,274.0,290.0,309.0,341.0,341.0,280.29,311.31
2022,NCY 1-6,1070.9,58.32,101.0,976.0,976.0,1013.0,1063.0,1114.0,1152.0,1152.0,1034.75,1107.05
2022,NCY 7-11,1079.0,18.03,25.0,1041.0,1041.0,1066.0,1078.0,1091.0,1105.0,1105.0,1067.83,1090.17
2022,NCY 14+,325.4,15.36,10.0,292.0,292.0,321.0,330.0,331.0,354.0,354.0,315.88,334.92
2022,NCY 12-13,272.6,22.16,13.0,226.0,226.0,270.0,273.0,283.0,308.0,308.0,258.86,286.34
2022,NCY < 1,198.7,17.99,25.0,177.0,177.0,183.0,192.0,208.0,233.0,233.0,187.55,209.85
