calendar-year,need,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,CI,1166.0,0.0,0.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0
2017,OTH,58.0,0.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
2017,SP,252.0,0.0,0.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0
2017,SEMH,241.0,0.0,0.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0
2017,CL,516.0,0.0,0.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0
2017,UKN,44.0,0.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
2018,CI,1249.7,14.14,18.0,1218.0,1218.0,1242.0,1255.0,1260.0,1263.0,1263.0,1240.93,1258.47
2018,OTH,58.8,3.06,5.0,53.0,53.0,56.0,59.0,61.0,63.0,63.0,56.9,60.7
2018,SP,267.9,7.54,13.0,253.0,253.0,262.0,267.0,275.0,278.0,278.0,263.23,272.57
2018,SEMH,262.7,13.7,16.0,241.0,241.0,254.0,260.0,270.0,287.0,287.0,254.21,271.19
2018,CL,555.3,9.9,17.0,539.0,539.0,545.0,558.0,562.0,573.0,573.0,549.16,561.44
2018,UKN,51.4,4.27,5.0,44.0,44.0,49.0,50.0,54.0,59.0,59.0,48.75,54.05
2019,SEMH,274.8,10.57,13.0,258.0,258.0,267.0,271.0,280.0,294.0,294.0,268.25,281.35
2019,SP,277.7,11.39,14.0,265.0,265.0,268.0,271.0,282.0,300.0,300.0,270.64,284.76
2019,CI,1331.7,31.44,21.0,1268.0,1268.0,1318.0,1326.0,1339.0,1402.0,1402.0,1312.22,1351.18
2019,UKN,51.9,6.73,9.0,43.0,43.0,47.0,49.0,56.0,66.0,66.0,47.73,56.07
2019,OTH,59.5,4.25,7.0,53.0,53.0,56.0,59.0,63.0,66.0,66.0,56.87,62.13
2019,CL,591.1,14.34,9.0,552.0,552.0,590.0,592.0,599.0,607.0,607.0,582.21,599.99
2020,CI,1403.3,44.46,58.0,1321.0,1321.0,1366.0,1399.0,1424.0,1473.0,1473.0,1375.75,1430.85
2020,SEMH,293.0,11.56,20.0,270.0,270.0,284.0,293.0,304.0,309.0,309.0,285.84,300.16
2020,SP,286.4,10.26,12.0,272.0,272.0,279.0,283.0,291.0,306.0,306.0,280.04,292.76
2020,UKN,58.1,11.32,16.0,41.0,41.0,49.0,52.0,65.0,76.0,76.0,51.09,65.11
2020,OTH,59.9,5.22,9.0,52.0,52.0,56.0,59.0,65.0,67.0,67.0,56.66,63.14
2020,CL,625.2,13.43,15.0,593.0,593.0,620.0,622.0,635.0,643.0,643.0,616.88,633.52
2021,CI,1467.1,52.69,89.0,1373.0,1373.0,1423.0,1458.0,1512.0,1542.0,1542.0,1434.44,1499.76
2021,OTH,59.0,4.38,6.0,51.0,51.0,57.0,57.0,63.0,66.0,66.0,56.28,61.72
2021,SP,298.1,11.9,15.0,271.0,271.0,292.0,300.0,307.0,312.0,312.0,290.72,305.48
2021,CL,653.9,15.1,25.0,627.0,627.0,638.0,661.0,663.0,677.0,677.0,644.54,663.26
2021,SEMH,304.0,14.23,26.0,286.0,286.0,290.0,297.0,316.0,325.0,325.0,295.18,312.82
2021,UKN,62.2,9.99,15.0,47.0,47.0,55.0,62.0,70.0,77.0,77.0,56.01,68.39
2022,CI,1528.6,47.94,75.0,1453.0,1453.0,1496.0,1507.0,1571.0,1600.0,1600.0,1498.89,1558.31
2022,SEMH,315.8,6.76,7.0,302.0,302.0,314.0,316.0,321.0,324.0,324.0,311.61,319.99
2022,OTH,58.4,4.25,8.0,50.0,50.0,55.0,58.0,63.0,63.0,63.0,55.77,61.03
2022,SP,303.2,16.79,27.0,270.0,270.0,290.0,305.0,317.0,327.0,327.0,292.79,313.61
2022,UKN,63.2,12.02,11.0,43.0,43.0,58.0,64.0,69.0,86.0,86.0,55.75,70.65
2022,CL,677.4,20.58,24.0,646.0,646.0,666.0,674.0,690.0,715.0,715.0,664.64,690.16
