calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,MMSOB,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,NMSS,35.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
2017,MSSOP,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,MMSIB,1249.0,0.0,0.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0
2017,MUOB,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2017,EYS,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2017,MU,119.0,0.0,0.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
2017,FEC,93.0,0.0,0.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
2017,ISSR,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2017,ISS,38.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2017,OOE,48.0,0.0,0.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
2017,EO,16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2017,MMS,12.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2017,NMSSR,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,MAP,39.0,0.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2017,IMS,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2017,MSSR,18.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2017,MSSOB,62.0,0.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
2017,MSSIB,426.0,0.0,0.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0
2018,MSS,1.83,1.46,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,0.93,2.74
2018,MMSOB,45.1,3.14,5.0,40.0,40.0,43.0,45.0,48.0,49.0,49.0,43.15,47.05
2018,NMSS,31.6,3.41,6.0,26.0,26.0,29.0,31.0,35.0,37.0,37.0,29.49,33.71
2018,MSSOP,31.4,7.24,8.0,23.0,23.0,26.0,29.0,34.0,48.0,48.0,26.91,35.89
2018,MMSIB,1304.7,10.68,8.0,1277.0,1277.0,1303.0,1308.0,1311.0,1317.0,1317.0,1298.08,1311.32
2018,MUOB,3.2,1.47,1.0,2.0,2.0,2.0,3.0,3.0,6.0,6.0,2.29,4.11
2018,EYS,10.6,2.54,3.0,5.0,5.0,9.0,11.0,12.0,15.0,15.0,9.03,12.17
2018,MU,120.6,5.78,10.0,110.0,110.0,117.0,120.0,127.0,127.0,127.0,117.02,124.18
2018,FEC,132.4,9.85,10.0,114.0,114.0,128.0,129.0,138.0,150.0,150.0,126.29,138.51
2018,ISSR,6.3,2.83,2.0,3.0,3.0,5.0,6.0,7.0,14.0,14.0,4.55,8.05
2018,ISS,43.6,4.32,6.0,33.0,33.0,41.0,44.0,47.0,49.0,49.0,40.92,46.28
2018,OOE,68.4,5.22,7.0,61.0,61.0,64.0,69.0,71.0,80.0,80.0,65.17,71.63
2018,EO,18.6,2.62,5.0,15.0,15.0,16.0,19.0,21.0,23.0,23.0,16.98,20.22
2018,MMS,11.2,3.82,4.0,7.0,7.0,9.0,10.0,13.0,20.0,20.0,8.83,13.57
2018,NMSSR,1.43,0.73,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.98,1.88
2018,MAP,48.1,8.96,10.0,34.0,34.0,42.0,47.0,52.0,67.0,67.0,42.55,53.65
2018,IMS,29.8,3.09,6.0,25.0,25.0,26.0,31.0,32.0,34.0,34.0,27.88,31.72
2018,MSSR,22.8,2.6,4.0,17.0,17.0,21.0,23.0,25.0,26.0,26.0,21.19,24.41
2018,MSSOB,65.4,5.08,6.0,57.0,57.0,62.0,65.0,68.0,76.0,76.0,62.25,68.55
2018,MSSIB,449.9,11.09,19.0,436.0,436.0,439.0,445.0,458.0,466.0,466.0,443.03,456.77
2019,MSS,3.33,2.69,2.0,1.0,1.0,2.0,2.0,4.0,9.0,9.0,1.67,5.0
2019,MMSOB,49.9,4.66,5.0,42.0,42.0,47.0,49.0,52.0,61.0,61.0,47.01,52.79
2019,NMSS,31.3,4.86,7.0,24.0,24.0,28.0,29.0,35.0,42.0,42.0,28.29,34.31
2019,MSSOP,30.2,7.41,11.0,19.0,19.0,25.0,30.0,36.0,44.0,44.0,25.61,34.79
2019,MMSIB,1363.2,28.86,41.0,1325.0,1325.0,1347.0,1354.0,1388.0,1412.0,1412.0,1345.31,1381.09
2019,MUOB,4.0,1.73,3.0,2.0,2.0,2.0,3.0,5.0,7.0,7.0,2.93,5.07
2019,EYS,9.7,3.23,3.0,4.0,4.0,8.0,9.0,11.0,16.0,16.0,7.7,11.7
2019,MU,127.6,8.28,18.0,118.0,118.0,119.0,125.0,137.0,138.0,138.0,122.46,132.74
