ay,need,setting,expectation,normalisation-constant,alpha
-3,CI,EO,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CI,EYS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CI,ISS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CI,ISSR,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CI,MSS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CI,MSSIB,0.2500000000000001,3.9999999999999982,1
-3,CI,OOE,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CL,EO,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CL,EYS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CL,ISS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CL,ISSR,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CL,MSS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,CL,MSSIB,0.2500000000000001,3.9999999999999982,1
-3,CL,OOE,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,OTH,EO,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,OTH,EYS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,OTH,ISS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,OTH,ISSR,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,OTH,MSS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,OTH,OOE,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SEMH,EO,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SEMH,EYS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SEMH,ISS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SEMH,ISSR,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SEMH,MSS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SEMH,OOE,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SP,EO,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SP,EYS,0.25694444444444453,3.9999999999999982,1.0277777777777777
-3,SP,ISS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SP,ISSR,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SP,MSS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,SP,OOE,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,UKN,EO,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,UKN,EYS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,UKN,ISS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,UKN,ISSR,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,UKN,MSS,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-3,UKN,OOE,0.0069444444444444475,3.9999999999999982,0.027777777777777776
-2,CI,EO,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,EYS,0.0470281862745098,64.0,3.0098039215686274
-2,CI,IMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,ISS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,ISSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MMS,0.0314031862745098,64.0,2.0098039215686274
-2,CI,MMSIB,0.015778186274509803,64.0,1.0098039215686274
-2,CI,MMSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MSSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MSSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MSSOP,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MU,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,MUOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,NMSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,NMSSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CI,OOE,0.0470281862745098,64.0,3.0098039215686274
-2,CL,EO,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,EYS,0.1407781862745098,64.0,9.009803921568627
-2,CL,IMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,ISS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,ISSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,MMS,0.0314031862745098,64.0,2.0098039215686274
-2,CL,MMSIB,0.015778186274509803,64.0,1.0098039215686274
-2,CL,MMSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,MSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,MSSIB,0.31265318627450983,64.0,20.00980392156863
-2,CL,MSSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,MSSOP,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,MU,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,MUOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,NMSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,NMSSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,CL,OOE,0.0314031862745098,64.0,2.0098039215686274
-2,OTH,EO,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,EYS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,IMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,ISS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,ISSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MMSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MMSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MSSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MSSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MSSOP,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MU,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,MUOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,NMSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,NMSSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,OTH,OOE,0.015778186274509803,64.0,1.0098039215686274
-2,SEMH,EO,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,EYS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,IMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,ISS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,ISSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MMSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MMSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MSSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MSSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MSSOP,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MU,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,MUOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,NMSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,NMSSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SEMH,OOE,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,EO,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,EYS,0.1564031862745098,64.0,10.009803921568627
-2,SP,IMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,ISS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,ISSR,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MMS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MMSIB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MMSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MSS,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MSSIB,0.015778186274509803,64.0,1.0098039215686274
-2,SP,MSSOB,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MSSOP,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MU,1.5318627450980392E-4,64.0,0.00980392156862745
-2,SP,MUOB,1.5318627450980392E-4,64.0,0.00980392156862745
