calendar-year,ay-group,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,NCY 1-6,971.0,0.0,0.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0,971.0
2017,NCY 7-11,788.0,0.0,0.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0,788.0
2017,NCY 14+,127.0,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
2017,NCY 12-13,218.0,0.0,0.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0,218.0
2017,NCY < 1,173.0,0.0,0.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0,173.0
2018,NCY 1-6,1030.6,10.03,20.0,1015.0,1015.0,1020.0,1030.0,1040.0,1047.0,1047.0,1024.38,1036.82
2018,NCY 7-11,842.7,8.17,12.0,827.0,827.0,835.0,843.0,847.0,857.0,857.0,837.63,847.77
2018,NCY 14+,154.4,7.09,8.0,143.0,143.0,150.0,153.0,158.0,170.0,170.0,150.01,158.79
2018,NCY 12-13,202.6,8.89,14.0,184.0,184.0,196.0,203.0,210.0,216.0,216.0,197.09,208.11
2018,NCY < 1,171.0,17.37,31.0,147.0,147.0,157.0,167.0,188.0,197.0,197.0,160.23,181.77
2019,NCY 7-11,892.2,14.91,28.0,872.0,872.0,876.0,894.0,904.0,910.0,910.0,882.96,901.44
2019,NCY 1-6,1071.4,23.75,49.0,1047.0,1047.0,1051.0,1060.0,1100.0,1114.0,1114.0,1056.68,1086.12
2019,NCY 12-13,201.9,10.66,11.0,184.0,184.0,194.0,200.0,205.0,222.0,222.0,195.29,208.51
2019,NCY 14+,155.6,11.11,17.0,142.0,142.0,146.0,150.0,163.0,178.0,178.0,148.71,162.49
2019,NCY < 1,180.1,16.47,25.0,156.0,156.0,167.0,178.0,192.0,209.0,209.0,169.89,190.31
2020,NCY 1-6,1095.5,40.06,44.0,1012.0,1012.0,1081.0,1097.0,1125.0,1159.0,1159.0,1070.67,1120.33
2020,NCY 7-11,925.5,18.77,29.0,881.0,881.0,911.0,930.0,940.0,943.0,943.0,913.87,937.13
2020,NCY 12-13,237.2,8.18,9.0,219.0,219.0,233.0,236.0,242.0,250.0,250.0,232.13,242.27
2020,NCY < 1,191.0,20.14,29.0,159.0,159.0,177.0,187.0,206.0,233.0,233.0,178.51,203.49
2020,NCY 14+,144.3,16.44,32.0,122.0,122.0,132.0,141.0,164.0,170.0,170.0,134.11,154.49
2021,NCY 1-6,1103.9,32.15,58.0,1041.0,1041.0,1077.0,1108.0,1135.0,1150.0,1150.0,1083.97,1123.83
2021,NCY 7-11,996.6,26.04,33.0,957.0,957.0,982.0,984.0,1015.0,1039.0,1039.0,980.46,1012.74
2021,NCY 12-13,238.2,15.42,20.0,202.0,202.0,228.0,239.0,248.0,260.0,260.0,228.64,247.76
2021,NCY < 1,195.5,16.44,21.0,164.0,164.0,185.0,197.0,206.0,218.0,218.0,185.31,205.69
2021,NCY 14+,151.3,12.49,16.0,136.0,136.0,143.0,148.0,159.0,175.0,175.0,143.56,159.04
2022,NCY 7-11,1078.9,26.88,44.0,1029.0,1029.0,1061.0,1072.0,1105.0,1121.0,1121.0,1062.24,1095.56
2022,NCY 14+,170.9,17.33,27.0,141.0,141.0,158.0,172.0,185.0,199.0,199.0,160.16,181.64
2022,NCY 1-6,1109.6,41.02,57.0,1041.0,1041.0,1079.0,1117.0,1136.0,1181.0,1181.0,1084.18,1135.02
2022,NCY 12-13,218.6,18.94,18.0,176.0,176.0,214.0,222.0,232.0,243.0,243.0,206.86,230.34
2022,NCY < 1,203.8,24.66,41.0,164.0,164.0,182.0,194.0,223.0,246.0,246.0,188.52,219.08
