calendar-year,need,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,CI,1166.0,0.0,0.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0,1166.0
2017,OTH,58.0,0.0,0.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
2017,SP,252.0,0.0,0.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0,252.0
2017,SEMH,241.0,0.0,0.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0,241.0
2017,CL,516.0,0.0,0.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0,516.0
2017,UKN,44.0,0.0,0.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
2018,CI,1237.0,18.4,22.0,1195.0,1195.0,1224.0,1239.0,1246.0,1266.0,1266.0,1225.59,1248.41
2018,SP,261.0,4.9,6.0,253.0,253.0,259.0,260.0,265.0,269.0,269.0,257.96,264.04
2018,SEMH,250.1,6.77,11.0,236.0,236.0,244.0,250.0,255.0,260.0,260.0,245.9,254.3
2018,CL,555.1,9.57,11.0,542.0,542.0,548.0,553.0,559.0,573.0,573.0,549.17,561.03
2018,OTH,53.9,3.27,6.0,48.0,48.0,51.0,53.0,57.0,59.0,59.0,51.87,55.93
2018,UKN,44.2,5.64,9.0,37.0,37.0,39.0,43.0,48.0,56.0,56.0,40.71,47.69
2019,SP,270.0,11.67,12.0,246.0,246.0,266.0,270.0,278.0,286.0,286.0,262.77,277.23
2019,CI,1310.8,29.51,37.0,1261.0,1261.0,1287.0,1306.0,1324.0,1372.0,1372.0,1292.51,1329.09
2019,SEMH,255.5,9.08,12.0,241.0,241.0,247.0,256.0,259.0,271.0,271.0,249.87,261.13
2019,UKN,34.8,3.34,6.0,31.0,31.0,32.0,34.0,38.0,41.0,41.0,32.73,36.87
2019,OTH,50.7,4.22,6.0,46.0,46.0,47.0,48.0,53.0,59.0,59.0,48.08,53.32
2019,CL,579.4,15.02,16.0,558.0,558.0,572.0,576.0,588.0,612.0,612.0,570.09,588.71
2020,CI,1372.3,30.37,40.0,1320.0,1320.0,1355.0,1375.0,1395.0,1428.0,1428.0,1353.48,1391.12
2020,SEMH,256.3,10.39,18.0,241.0,241.0,247.0,256.0,265.0,274.0,274.0,249.86,262.74
2020,SP,278.1,11.52,12.0,255.0,255.0,273.0,277.0,285.0,300.0,300.0,270.96,285.24
2020,CL,603.9,16.91,25.0,579.0,579.0,588.0,607.0,613.0,635.0,635.0,593.42,614.38
2020,UKN,34.4,5.44,8.0,28.0,28.0,30.0,31.0,38.0,45.0,45.0,31.03,37.77
2020,OTH,48.5,6.25,13.0,38.0,38.0,43.0,47.0,56.0,57.0,57.0,44.63,52.37
2021,CI,1428.7,28.51,47.0,1381.0,1381.0,1406.0,1438.0,1453.0,1464.0,1464.0,1411.03,1446.37
2021,OTH,46.6,5.97,8.0,38.0,38.0,42.0,47.0,50.0,58.0,58.0,42.9,50.3
2021,SP,290.9,10.91,10.0,268.0,268.0,289.0,291.0,299.0,304.0,304.0,284.14,297.66
2021,SEMH,257.7,11.05,19.0,241.0,241.0,247.0,256.0,266.0,277.0,277.0,250.85,264.55
2021,CL,625.4,16.3,23.0,600.0,600.0,615.0,617.0,638.0,654.0,654.0,615.29,635.51
2021,UKN,36.2,5.38,9.0,28.0,28.0,32.0,35.0,41.0,45.0,45.0,32.86,39.54
2022,SEMH,266.0,12.49,13.0,242.0,242.0,264.0,265.0,277.0,283.0,283.0,258.26,273.74
2022,SP,305.2,13.14,14.0,276.0,276.0,301.0,305.0,315.0,327.0,327.0,297.05,313.35
2022,CI,1490.2,19.19,19.0,1448.0,1448.0,1488.0,1492.0,1507.0,1512.0,1512.0,1478.31,1502.09
2022,UKN,36.7,6.33,10.0,27.0,27.0,33.0,34.0,43.0,46.0,46.0,32.78,40.62
2022,CL,638.5,14.27,27.0,621.0,621.0,623.0,636.0,650.0,662.0,662.0,629.65,647.35
2022,OTH,45.2,5.81,10.0,35.0,35.0,40.0,45.0,50.0,53.0,53.0,41.6,48.8
