calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,MMSOB,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,NMSS,35.0,0.0,0.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0
2017,MSSOP,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,MMSIB,1249.0,0.0,0.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0,1249.0
2017,MUOB,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2017,EYS,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2017,MU,119.0,0.0,0.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0,119.0
2017,FEC,93.0,0.0,0.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0
2017,ISSR,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2017,ISS,38.0,0.0,0.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0
2017,OOE,48.0,0.0,0.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
2017,EO,16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2017,MMS,12.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
2017,NMSSR,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,MAP,39.0,0.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2017,IMS,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2017,MSSR,18.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
2017,MSSOB,62.0,0.0,0.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
2017,MSSIB,426.0,0.0,0.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0,426.0
2018,MSS,1.5,0.76,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.03,1.97
2018,MMSOB,42.1,4.04,3.0,36.0,36.0,41.0,42.0,44.0,51.0,51.0,39.6,44.6
2018,NMSS,33.3,2.61,4.0,29.0,29.0,31.0,32.0,35.0,38.0,38.0,31.68,34.92
2018,MSSOP,28.8,5.06,8.0,22.0,22.0,25.0,27.0,33.0,39.0,39.0,25.67,31.93
2018,MMSIB,1315.6,19.08,24.0,1277.0,1277.0,1306.0,1312.0,1330.0,1349.0,1349.0,1303.77,1327.43
2018,MUOB,2.9,0.94,1.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,2.32,3.48
2018,EYS,11.1,4.66,9.0,5.0,5.0,7.0,9.0,16.0,19.0,19.0,8.21,13.99
2018,MU,119.5,3.83,6.0,115.0,115.0,117.0,117.0,123.0,125.0,125.0,117.13,121.87
2018,FEC,102.0,7.97,12.0,93.0,93.0,94.0,100.0,106.0,120.0,120.0,97.06,106.94
2018,ISSR,5.4,1.36,1.0,4.0,4.0,5.0,5.0,6.0,9.0,9.0,4.56,6.24
2018,ISS,41.2,2.86,4.0,35.0,35.0,40.0,40.0,44.0,45.0,45.0,39.43,42.97
2018,OOE,58.6,4.76,9.0,52.0,52.0,54.0,56.0,63.0,65.0,65.0,55.65,61.55
2018,EO,19.4,2.91,3.0,15.0,15.0,18.0,18.0,21.0,25.0,25.0,17.6,21.2
2018,MMS,10.4,3.77,6.0,6.0,6.0,8.0,9.0,14.0,17.0,17.0,8.06,12.74
2018,NMSSR,1.67,1.05,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.01,2.32
2018,MAP,44.9,6.33,9.0,36.0,36.0,38.0,45.0,47.0,55.0,55.0,40.98,48.82
2018,IMS,30.5,3.85,6.0,26.0,26.0,27.0,29.0,33.0,37.0,37.0,28.11,32.89
2018,MSSR,22.1,2.51,3.0,17.0,17.0,21.0,22.0,24.0,25.0,25.0,20.55,23.65
2018,MSSOB,64.2,5.79,10.0,54.0,54.0,58.0,66.0,68.0,71.0,71.0,60.61,67.79
2018,MSSIB,446.9,8.03,7.0,428.0,428.0,444.0,446.0,451.0,461.0,461.0,441.92,451.88
2019,MSS,2.14,1.88,0.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,0.97,3.31
2019,MMSOB,46.0,3.74,7.0,40.0,40.0,43.0,44.0,50.0,51.0,51.0,43.68,48.32
2019,NMSS,31.5,4.54,9.0,27.0,27.0,27.0,30.0,36.0,41.0,41.0,28.68,34.32
2019,MSSOP,25.2,5.91,8.0,18.0,18.0,21.0,23.0,29.0,39.0,39.0,21.54,28.86
2019,MMSIB,1369.6,26.07,45.0,1334.0,1334.0,1349.0,1358.0,1394.0,1420.0,1420.0,1353.44,1385.76
2019,MUOB,3.56,2.36,2.0,1.0,1.0,2.0,3.0,4.0,9.0,9.0,2.09,5.02
2019,EYS,12.3,3.16,6.0,7.0,7.0,10.0,11.0,16.0,17.0,17.0,10.34,14.26
2019,MU,127.6,6.71,11.0,117.0,117.0,122.0,128.0,133.0,141.0,141.0,123.44,131.76
