calendar-year,academic-year,need,setting,population
2017,-4,CI,EO,0.0
2017,-4,CI,EYS,0.0
2017,-4,CI,ISS,0.0
2017,-4,CI,ISSR,0.0
2017,-4,CI,MSS,0.0
2017,-4,CI,OOE,0.0
2017,-4,CL,EO,0.0
2017,-4,CL,EYS,0.0
2017,-4,CL,ISS,0.0
2017,-4,CL,ISSR,0.0
2017,-4,CL,MSS,0.0
2017,-4,CL,OOE,0.0
2017,-4,OTH,EO,0.0
2017,-4,OTH,EYS,0.0
2017,-4,OTH,ISS,0.0
2017,-4,OTH,ISSR,0.0
2017,-4,OTH,MSS,0.0
2017,-4,OTH,OOE,0.0
2017,-4,SEMH,EO,0.0
2017,-4,SEMH,EYS,0.0
2017,-4,SEMH,ISS,0.0
2017,-4,SEMH,ISSR,0.0
2017,-4,SEMH,MSS,0.0
2017,-4,SEMH,OOE,0.0
2017,-4,SP,EO,0.0
2017,-4,SP,EYS,0.0
2017,-4,SP,ISS,0.0
2017,-4,SP,ISSR,0.0
2017,-4,SP,MSS,0.0
2017,-4,SP,OOE,0.0
2017,-4,UKN,EO,0.0
2017,-4,UKN,EYS,0.0
2017,-4,UKN,ISS,0.0
2017,-4,UKN,ISSR,0.0
2017,-4,UKN,MSS,0.0
2017,-4,UKN,OOE,0.0
2017,-3,CI,EO,0.0
2017,-3,CI,EYS,0.0
2017,-3,CI,ISS,0.0
2017,-3,CI,ISSR,0.0
2017,-3,CI,MSS,0.0
2017,-3,CI,OOE,0.0
2017,-3,CL,EO,0.0
2017,-3,CL,EYS,0.0
2017,-3,CL,ISS,0.0
2017,-3,CL,ISSR,0.0
2017,-3,CL,MSS,0.0
2017,-3,CL,OOE,0.0
2017,-3,OTH,EO,0.0
2017,-3,OTH,EYS,0.0
2017,-3,OTH,ISS,0.0
2017,-3,OTH,ISSR,0.0
2017,-3,OTH,MSS,0.0
2017,-3,OTH,OOE,0.0
2017,-3,SEMH,EO,0.0
2017,-3,SEMH,EYS,0.0
2017,-3,SEMH,ISS,0.0
2017,-3,SEMH,ISSR,0.0
2017,-3,SEMH,MSS,0.0
2017,-3,SEMH,OOE,0.0
2017,-3,SP,EO,0.0
