ay,alpha,beta,expectation
-3,0.75,6654.5,1.12692986E-4
-2,15.75,8758.25,0.0017950764
-1,40.5,8275.25,0.0048702764
0,48.75,7885.25,0.0061444417
1,30.75,7612.75,0.004023026
2,24.25,7299.25,0.0033112583
3,17.25,7024.0,0.0024498492
4,13.75,6785.75,0.0020222075
5,12.75,6546.5,0.0019438198
6,10.75,6290.25,0.0017060784
7,13.0,6094.75,0.0021284434
8,5.5,5871.75,9.3581184E-4
9,9.75,5652.25,0.0017220064
10,10.0,5547.75,0.0017992893
11,6.25,5570.75,0.0011206742
12,4.75,5670.75,8.3693065E-4
13,2.25,4621.5,4.86618E-4
14,2.0,5665.25,3.5290484E-4
15,0.25,2217.25,1.1273957E-4
16,1.0,2362.0,4.2319085E-4
17,1.25,5020.5,2.489172E-4
18,0.75,5887.0,1.2738313E-4
19,0.5,6991.75,7.150774E-5
