ay,need,setting,ay-destination,need-destination,setting-destination,expectation,normalisation-constant,alpha
-4,CI,EO,-3,CI,ISS,0.25,1.0,0.25
-4,CI,EO,-3,CI,ISSR,0.25,1.0,0.25
-4,CI,EO,-3,CI,MSS,0.25,1.0,0.25
-4,CI,EO,-3,CI,OOE,0.25,1.0,0.25
-4,CI,EYS,-3,CI,EO,0.2,1.0,0.2
-4,CI,EYS,-3,CI,ISS,0.2,1.0,0.2
-4,CI,EYS,-3,CI,ISSR,0.2,1.0,0.2
-4,CI,EYS,-3,CI,MSS,0.2,1.0,0.2
-4,CI,EYS,-3,CI,OOE,0.2,1.0,0.2
-4,CI,ISS,-3,CI,EO,0.25,1.0,0.25
-4,CI,ISS,-3,CI,ISSR,0.25,1.0,0.25
-4,CI,ISS,-3,CI,MSS,0.25,1.0,0.25
-4,CI,ISS,-3,CI,OOE,0.25,1.0,0.25
-4,CI,ISSR,-3,CI,EO,0.25,1.0,0.25
-4,CI,ISSR,-3,CI,ISS,0.25,1.0,0.25
-4,CI,ISSR,-3,CI,MSS,0.25,1.0,0.25
-4,CI,ISSR,-3,CI,OOE,0.25,1.0,0.25
-4,CI,MSS,-3,CI,EO,0.25,1.0,0.25
-4,CI,MSS,-3,CI,ISS,0.25,1.0,0.25
-4,CI,MSS,-3,CI,ISSR,0.25,1.0,0.25
-4,CI,MSS,-3,CI,OOE,0.25,1.0,0.25
-4,CI,OOE,-3,CI,EO,0.25,1.0,0.25
-4,CI,OOE,-3,CI,ISS,0.25,1.0,0.25
-4,CI,OOE,-3,CI,ISSR,0.25,1.0,0.25
-4,CI,OOE,-3,CI,MSS,0.25,1.0,0.25
-4,CL,EO,-3,CL,ISS,0.25,1.0,0.25
-4,CL,EO,-3,CL,ISSR,0.25,1.0,0.25
-4,CL,EO,-3,CL,MSS,0.25,1.0,0.25
-4,CL,EO,-3,CL,OOE,0.25,1.0,0.25
-4,CL,EYS,-3,CL,EO,0.2,1.0,0.2
-4,CL,EYS,-3,CL,ISS,0.2,1.0,0.2
-4,CL,EYS,-3,CL,ISSR,0.2,1.0,0.2
-4,CL,EYS,-3,CL,MSS,0.2,1.0,0.2
-4,CL,EYS,-3,CL,OOE,0.2,1.0,0.2
-4,CL,ISS,-3,CL,EO,0.25,1.0,0.25
-4,CL,ISS,-3,CL,ISSR,0.25,1.0,0.25
-4,CL,ISS,-3,CL,MSS,0.25,1.0,0.25
-4,CL,ISS,-3,CL,OOE,0.25,1.0,0.25
-4,CL,ISSR,-3,CL,EO,0.25,1.0,0.25
-4,CL,ISSR,-3,CL,ISS,0.25,1.0,0.25
-4,CL,ISSR,-3,CL,MSS,0.25,1.0,0.25
-4,CL,ISSR,-3,CL,OOE,0.25,1.0,0.25
-4,CL,MSS,-3,CL,EO,0.25,1.0,0.25
-4,CL,MSS,-3,CL,ISS,0.25,1.0,0.25
-4,CL,MSS,-3,CL,ISSR,0.25,1.0,0.25
-4,CL,MSS,-3,CL,OOE,0.25,1.0,0.25
-4,CL,OOE,-3,CL,EO,0.25,1.0,0.25
-4,CL,OOE,-3,CL,ISS,0.25,1.0,0.25
-4,CL,OOE,-3,CL,ISSR,0.25,1.0,0.25
-4,CL,OOE,-3,CL,MSS,0.25,1.0,0.25
-4,OTH,EO,-3,OTH,ISS,0.25,1.0,0.25
-4,OTH,EO,-3,OTH,ISSR,0.25,1.0,0.25
-4,OTH,EO,-3,OTH,MSS,0.25,1.0,0.25
-4,OTH,EO,-3,OTH,OOE,0.25,1.0,0.25
-4,OTH,EYS,-3,OTH,EO,0.2,1.0,0.2
-4,OTH,EYS,-3,OTH,ISS,0.2,1.0,0.2
-4,OTH,EYS,-3,OTH,ISSR,0.2,1.0,0.2
-4,OTH,EYS,-3,OTH,MSS,0.2,1.0,0.2
-4,OTH,EYS,-3,OTH,OOE,0.2,1.0,0.2
-4,OTH,ISS,-3,OTH,EO,0.25,1.0,0.25
-4,OTH,ISS,-3,OTH,ISSR,0.25,1.0,0.25
-4,OTH,ISS,-3,OTH,MSS,0.25,1.0,0.25
-4,OTH,ISS,-3,OTH,OOE,0.25,1.0,0.25
-4,OTH,ISSR,-3,OTH,EO,0.25,1.0,0.25
-4,OTH,ISSR,-3,OTH,ISS,0.25,1.0,0.25
-4,OTH,ISSR,-3,OTH,MSS,0.25,1.0,0.25
-4,OTH,ISSR,-3,OTH,OOE,0.25,1.0,0.25
-4,OTH,MSS,-3,OTH,EO,0.25,1.0,0.25
-4,OTH,MSS,-3,OTH,ISS,0.25,1.0,0.25
-4,OTH,MSS,-3,OTH,ISSR,0.25,1.0,0.25
-4,OTH,MSS,-3,OTH,OOE,0.25,1.0,0.25
-4,OTH,OOE,-3,OTH,EO,0.25,1.0,0.25
-4,OTH,OOE,-3,OTH,ISS,0.25,1.0,0.25
-4,OTH,OOE,-3,OTH,ISSR,0.25,1.0,0.25
-4,OTH,OOE,-3,OTH,MSS,0.25,1.0,0.25
-4,SEMH,EO,-3,SEMH,ISS,0.25,1.0,0.25
-4,SEMH,EO,-3,SEMH,ISSR,0.25,1.0,0.25
-4,SEMH,EO,-3,SEMH,MSS,0.25,1.0,0.25
-4,SEMH,EO,-3,SEMH,OOE,0.25,1.0,0.25
-4,SEMH,EYS,-3,SEMH,EO,0.2,1.0,0.2
-4,SEMH,EYS,-3,SEMH,ISS,0.2,1.0,0.2
-4,SEMH,EYS,-3,SEMH,ISSR,0.2,1.0,0.2
-4,SEMH,EYS,-3,SEMH,MSS,0.2,1.0,0.2
-4,SEMH,EYS,-3,SEMH,OOE,0.2,1.0,0.2
-4,SEMH,ISS,-3,SEMH,EO,0.25,1.0,0.25
-4,SEMH,ISS,-3,SEMH,ISSR,0.25,1.0,0.25
-4,SEMH,ISS,-3,SEMH,MSS,0.25,1.0,0.25
-4,SEMH,ISS,-3,SEMH,OOE,0.25,1.0,0.25
-4,SEMH,ISSR,-3,SEMH,EO,0.25,1.0,0.25
-4,SEMH,ISSR,-3,SEMH,ISS,0.25,1.0,0.25
-4,SEMH,ISSR,-3,SEMH,MSS,0.25,1.0,0.25
-4,SEMH,ISSR,-3,SEMH,OOE,0.25,1.0,0.25
-4,SEMH,MSS,-3,SEMH,EO,0.25,1.0,0.25
-4,SEMH,MSS,-3,SEMH,ISS,0.25,1.0,0.25
-4,SEMH,MSS,-3,SEMH,ISSR,0.25,1.0,0.25
-4,SEMH,MSS,-3,SEMH,OOE,0.25,1.0,0.25
-4,SEMH,OOE,-3,SEMH,EO,0.25,1.0,0.25
-4,SEMH,OOE,-3,SEMH,ISS,0.25,1.0,0.25
-4,SEMH,OOE,-3,SEMH,ISSR,0.25,1.0,0.25
-4,SEMH,OOE,-3,SEMH,MSS,0.25,1.0,0.25
-4,SP,EO,-3,SP,ISS,0.25,1.0,0.25
-4,SP,EO,-3,SP,ISSR,0.25,1.0,0.25
-4,SP,EO,-3,SP,MSS,0.25,1.0,0.25
-4,SP,EO,-3,SP,OOE,0.25,1.0,0.25
-4,SP,EYS,-3,SP,EO,0.2,1.0,0.2
-4,SP,EYS,-3,SP,ISS,0.2,1.0,0.2
-4,SP,EYS,-3,SP,ISSR,0.2,1.0,0.2
-4,SP,EYS,-3,SP,MSS,0.2,1.0,0.2
-4,SP,EYS,-3,SP,OOE,0.2,1.0,0.2
-4,SP,ISS,-3,SP,EO,0.25,1.0,0.25
-4,SP,ISS,-3,SP,ISSR,0.25,1.0,0.25
-4,SP,ISS,-3,SP,MSS,0.25,1.0,0.25
-4,SP,ISS,-3,SP,OOE,0.25,1.0,0.25
-4,SP,ISSR,-3,SP,EO,0.25,1.0,0.25
-4,SP,ISSR,-3,SP,ISS,0.25,1.0,0.25
-4,SP,ISSR,-3,SP,MSS,0.25,1.0,0.25
-4,SP,ISSR,-3,SP,OOE,0.25,1.0,0.25
-4,SP,MSS,-3,SP,EO,0.25,1.0,0.25
-4,SP,MSS,-3,SP,ISS,0.25,1.0,0.25
-4,SP,MSS,-3,SP,ISSR,0.25,1.0,0.25
-4,SP,MSS,-3,SP,OOE,0.25,1.0,0.25
-4,SP,OOE,-3,SP,EO,0.25,1.0,0.25
-4,SP,OOE,-3,SP,ISS,0.25,1.0,0.25
-4,SP,OOE,-3,SP,ISSR,0.25,1.0,0.25
-4,SP,OOE,-3,SP,MSS,0.25,1.0,0.25
-4,UKN,EO,-3,UKN,ISS,0.25,1.0,0.25
-4,UKN,EO,-3,UKN,ISSR,0.25,1.0,0.25
-4,UKN,EO,-3,UKN,MSS,0.25,1.0,0.25
-4,UKN,EO,-3,UKN,OOE,0.25,1.0,0.25
-4,UKN,EYS,-3,UKN,EO,0.2,1.0,0.2
-4,UKN,EYS,-3,UKN,ISS,0.2,1.0,0.2
-4,UKN,EYS,-3,UKN,ISSR,0.2,1.0,0.2
-4,UKN,EYS,-3,UKN,MSS,0.2,1.0,0.2
-4,UKN,EYS,-3,UKN,OOE,0.2,1.0,0.2
-4,UKN,ISS,-3,UKN,EO,0.25,1.0,0.25
-4,UKN,ISS,-3,UKN,ISSR,0.25,1.0,0.25
-4,UKN,ISS,-3,UKN,MSS,0.25,1.0,0.25
-4,UKN,ISS,-3,UKN,OOE,0.25,1.0,0.25
-4,UKN,ISSR,-3,UKN,EO,0.25,1.0,0.25
-4,UKN,ISSR,-3,UKN,ISS,0.25,1.0,0.25
-4,UKN,ISSR,-3,UKN,MSS,0.25,1.0,0.25
-4,UKN,ISSR,-3,UKN,OOE,0.25,1.0,0.25
-4,UKN,MSS,-3,UKN,EO,0.25,1.0,0.25
-4,UKN,MSS,-3,UKN,ISS,0.25,1.0,0.25
-4,UKN,MSS,-3,UKN,ISSR,0.25,1.0,0.25
-4,UKN,MSS,-3,UKN,OOE,0.25,1.0,0.25
-4,UKN,OOE,-3,UKN,EO,0.25,1.0,0.25
-4,UKN,OOE,-3,UKN,ISS,0.25,1.0,0.25
-4,UKN,OOE,-3,UKN,ISSR,0.25,1.0,0.25
-4,UKN,OOE,-3,UKN,MSS,0.25,1.0,0.25
-3,CI,EO,-2,CI,ISS,0.25,1.0,0.25
-3,CI,EO,-2,CI,ISSR,0.25,1.0,0.25
-3,CI,EO,-2,CI,MSS,0.25,1.0,0.25
-3,CI,EO,-2,CI,OOE,0.25,1.0,0.25
-3,CI,EYS,-2,CI,EO,0.2,1.0,0.2
-3,CI,EYS,-2,CI,ISS,0.2,1.0,0.2
-3,CI,EYS,-2,CI,ISSR,0.2,1.0,0.2
-3,CI,EYS,-2,CI,MSS,0.2,1.0,0.2
-3,CI,EYS,-2,CI,OOE,0.2,1.0,0.2
-3,CI,ISS,-2,CI,EO,0.25,1.0,0.25
