calendar-year,ay-group,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,NCY 7-11,753.0,0.0,0.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0
2017,NCY 14+,127.0,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
2017,NCY 12-13,198.0,0.0,0.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
2017,NCY 1-6,921.0,0.0,0.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0
2017,NCY < 1,154.0,0.0,0.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
2018,NCY < 1,175.2,10.98,9.0,160.0,160.0,171.0,172.0,180.0,203.0,203.0,168.39,182.01
2018,NCY 7-11,777.2,13.52,15.0,765.0,765.0,768.0,771.0,783.0,811.0,811.0,768.82,785.58
2018,NCY 14+,186.5,8.51,10.0,172.0,172.0,181.0,187.0,191.0,204.0,204.0,181.22,191.78
2018,NCY 1-6,955.3,7.09,8.0,941.0,941.0,951.0,955.0,959.0,966.0,966.0,950.91,959.69
2018,NCY 12-13,218.4,6.33,8.0,211.0,211.0,214.0,216.0,222.0,232.0,232.0,214.48,222.32
2019,NCY < 1,164.7,17.65,25.0,135.0,135.0,152.0,164.0,177.0,198.0,198.0,153.76,175.64
2019,NCY 7-11,844.5,14.2,13.0,821.0,821.0,837.0,842.0,850.0,875.0,875.0,835.7,853.3
2019,NCY 14+,222.6,8.24,10.0,209.0,209.0,217.0,222.0,227.0,239.0,239.0,217.49,227.71
2019,NCY 1-6,974.5,16.65,30.0,946.0,946.0,959.0,978.0,989.0,1000.0,1000.0,964.18,984.82
2019,NCY 12-13,234.4,15.9,21.0,202.0,202.0,223.0,236.0,244.0,261.0,261.0,224.54,244.26
2020,NCY < 1,174.0,22.27,27.0,134.0,134.0,162.0,166.0,189.0,210.0,210.0,160.2,187.8
2020,NCY 7-11,850.2,16.34,14.0,829.0,829.0,841.0,844.0,855.0,879.0,879.0,840.07,860.33
2020,NCY 14+,263.5,9.75,20.0,252.0,252.0,254.0,258.0,274.0,279.0,279.0,257.46,269.54
2020,NCY 1-6,1002.1,22.2,28.0,965.0,965.0,984.0,1000.0,1012.0,1039.0,1039.0,988.34,1015.86
2020,NCY 12-13,265.8,11.08,7.0,243.0,243.0,265.0,266.0,272.0,284.0,284.0,258.93,272.67
2021,NCY < 1,182.8,25.0,37.0,134.0,134.0,163.0,189.0,200.0,224.0,224.0,167.31,198.29
2021,NCY 7-11,903.8,13.8,16.0,875.0,875.0,896.0,906.0,912.0,928.0,928.0,895.24,912.36
2021,NCY 14+,283.2,16.64,12.0,253.0,253.0,278.0,282.0,290.0,320.0,320.0,272.89,293.51
2021,NCY 1-6,1042.2,33.46,59.0,981.0,981.0,1016.0,1037.0,1075.0,1093.0,1093.0,1021.46,1062.94
2021,NCY 12-13,258.2,14.27,16.0,242.0,242.0,248.0,254.0,264.0,285.0,285.0,249.36,267.04
2022,NCY < 1,181.0,12.76,13.0,152.0,152.0,177.0,179.0,190.0,203.0,203.0,173.09,188.91
2022,NCY 7-11,944.5,21.0,30.0,911.0,911.0,929.0,947.0,959.0,978.0,978.0,931.48,957.52
2022,NCY 14+,315.0,17.15,22.0,279.0,279.0,303.0,312.0,325.0,342.0,342.0,304.37,325.63
2022,NCY 1-6,1081.2,36.02,55.0,1021.0,1021.0,1063.0,1066.0,1118.0,1129.0,1129.0,1058.88,1103.52
2022,NCY 12-13,246.3,15.73,26.0,225.0,225.0,233.0,240.0,259.0,276.0,276.0,236.55,256.05
