calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,L,61.0,0.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
2017,M,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,I,29.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
2017,R,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2017,O,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2017,A,390.0,0.0,0.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
2017,F,118.0,0.0,0.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
2017,Q,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2017,P,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2017,D,16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2017,B,1208.0,0.0,0.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0
2017,J,51.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2017,C,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2017,E,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2017,G,21.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2017,H,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,S,79.0,0.0,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
2017,N,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2017,K,17.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2018,L,64.0,4.29,7.0,58.0,58.0,60.0,62.0,67.0,71.0,71.0,61.34,66.66
2018,M,1.4,0.8,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,0.9,1.9
2018,I,31.9,2.95,5.0,26.0,26.0,30.0,32.0,35.0,35.0,35.0,30.07,33.73
2018,R,39.1,6.3,5.0,30.0,30.0,37.0,37.0,42.0,55.0,55.0,35.2,43.0
2018,O,2.5,0.81,1.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0
2018,A,408.7,12.79,20.0,382.0,382.0,400.0,407.0,420.0,425.0,425.0,400.77,416.63
2018,F,123.4,6.22,7.0,113.0,113.0,119.0,122.0,126.0,136.0,136.0,119.55,127.25
2018,Q,7.4,1.56,1.0,4.0,4.0,7.0,7.0,8.0,10.0,10.0,6.43,8.37
2018,P,9.2,2.48,3.0,5.0,5.0,8.0,9.0,11.0,14.0,14.0,7.66,10.74
2018,D,18.3,3.13,5.0,14.0,14.0,15.0,18.0,20.0,24.0,24.0,16.36,20.24
2018,B,1271.5,28.16,44.0,1229.0,1229.0,1245.0,1279.0,1289.0,1320.0,1320.0,1254.04,1288.96
2018,J,73.1,6.46,9.0,60.0,60.0,69.0,71.0,78.0,82.0,82.0,69.1,77.1
2018,C,3.7,1.1,1.0,2.0,2.0,3.0,3.0,4.0,6.0,6.0,3.02,4.38
2018,E,32.8,3.79,6.0,27.0,27.0,30.0,31.0,36.0,40.0,40.0,30.45,35.15
2018,G,23.7,4.03,6.0,16.0,16.0,21.0,23.0,27.0,31.0,31.0,21.2,26.2
2018,H,39.2,3.92,7.0,32.0,32.0,36.0,39.0,43.0,44.0,44.0,36.77,41.63
2018,S,107.4,6.56,11.0,96.0,96.0,102.0,107.0,113.0,117.0,117.0,103.33,111.47
2018,N,37.8,3.46,5.0,32.0,32.0,35.0,38.0,40.0,43.0,43.0,35.66,39.94
2018,K,17.7,2.45,3.0,14.0,14.0,16.0,17.0,19.0,23.0,23.0,16.18,19.22
2019,L,60.7,5.5,3.0,53.0,53.0,59.0,59.0,62.0,75.0,75.0,57.29,64.11
2019,M,1.4,0.49,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.1,1.7
2019,I,36.4,5.52,7.0,25.0,25.0,33.0,38.0,40.0,45.0,45.0,32.98,39.82
2019,R,34.9,6.01,4.0,27.0,27.0,32.0,34.0,36.0,51.0,51.0,31.18,38.62
2019,O,2.14,0.64,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1.75,2.54
2019,A,430.0,19.35,27.0,388.0,388.0,416.0,438.0,443.0,452.0,452.0,418.0,442.0
2019,F,129.5,9.45,10.0,108.0,108.0,126.0,128.0,136.0,142.0,142.0,123.64,135.36
2019,Q,7.3,1.68,2.0,5.0,5.0,6.0,7.0,8.0,11.0,11.0,6.26,8.34
2019,P,8.7,3.44,6.0,4.0,4.0,6.0,7.0,12.0,14.0,14.0,6.57,10.83
2019,D,21.7,5.22,10.0,15.0,15.0,17.0,19.0,27.0,30.0,30.0,18.47,24.93
2019,B,1301.5,31.35,28.0,1240.0,1240.0,1299.0,1310.0,1327.0,1336.0,1336.0,1282.07,1320.93
2019,J,101.5,12.04,18.0,83.0,83.0,92.0,101.0,110.0,121.0,121.0,94.04,108.96
2019,C,3.63,1.49,2.0,1.0,1.0,2.0,4.0,4.0,6.0,6.0,2.7,4.55
2019,E,34.1,4.48,5.0,27.0,27.0,32.0,33.0,37.0,42.0,42.0,31.32,36.88
2019,G,27.2,6.79,9.0,18.0,18.0,21.0,24.0,30.0,41.0,41.0,22.99,31.41
2019,H,36.9,3.96,8.0,30.0,30.0,32.0,39.0,40.0,41.0,41.0,34.44,39.36
2019,S,127.3,12.78,25.0,107.0,107.0,117.0,127.0,142.0,146.0,146.0,119.38,135.22
2019,N,43.3,6.0,9.0,32.0,32.0,39.0,45.0,48.0,50.0,50.0,39.58,47.02
2019,K,19.1,2.51,4.0,16.0,16.0,17.0,19.0,21.0,24.0,24.0,17.55,20.65
2020,L,60.1,8.76,9.0,50.0,50.0,53.0,57.0,62.0,78.0,78.0,54.67,65.53
2020,M,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020,I,40.2,8.02,15.0,27.0,27.0,33.0,40.0,48.0,50.0,50.0,35.23,45.17
2020,R,35.4,4.61,7.0,29.0,29.0,31.0,35.0,38.0,45.0,45.0,32.54,38.26
2020,O,1.43,0.49,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.12,1.74
2020,A,455.5,15.83,16.0,414.0,414.0,449.0,459.0,465.0,474.0,474.0,445.69,465.31
2020,F,125.6,9.15,12.0,105.0,105.0,121.0,125.0,133.0,140.0,140.0,119.93,131.27
2020,Q,6.4,2.91,4.0,4.0,4.0,4.0,5.0,8.0,14.0,14.0,4.6,8.2
2020,P,10.1,3.99,5.0,5.0,5.0,7.0,9.0,12.0,19.0,19.0,7.63,12.57
2020,D,22.4,7.32,9.0,12.0,12.0,17.0,23.0,26.0,36.0,36.0,17.86,26.94
2020,B,1334.6,35.35,50.0,1258.0,1258.0,1310.0,1342.0,1360.0,1377.0,1377.0,1312.69,1356.51
2020,J,117.9,16.93,27.0,99.0,99.0,105.0,112.0,132.0,157.0,157.0,107.41,128.39
2020,C,3.56,1.89,3.0,1.0,1.0,2.0,3.0,5.0,7.0,7.0,2.38,4.73
2020,E,35.4,4.54,8.0,29.0,29.0,30.0,36.0,38.0,43.0,43.0,32.58,38.22
2020,G,30.8,7.1,9.0,24.0,24.0,25.0,28.0,34.0,48.0,48.0,26.4,35.2
2020,H,32.8,4.81,4.0,23.0,23.0,31.0,33.0,35.0,40.0,40.0,29.82,35.78
2020,S,150.7,15.87,23.0,125.0,125.0,140.0,148.0,163.0,177.0,177.0,140.86,160.54
2020,N,44.0,6.53,12.0,32.0,32.0,37.0,46.0,49.0,51.0,51.0,39.95,48.05
2020,K,18.5,4.03,7.0,12.0,12.0,15.0,18.0,22.0,25.0,25.0,16.0,21.0
2021,L,62.3,10.47,15.0,48.0,48.0,53.0,60.0,68.0,84.0,84.0,55.81,68.79
2021,M,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021,I,44.2,8.96,10.0,33.0,33.0,36.0,44.0,46.0,67.0,67.0,38.64,49.76
2021,R,34.7,6.93,8.0,25.0,25.0,31.0,32.0,39.0,50.0,50.0,30.41,38.99
2021,O,1.67,0.67,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.25,2.08
2021,A,472.9,18.61,22.0,429.0,429.0,464.0,471.0,486.0,498.0,498.0,461.37,484.43
2021,F,125.1,12.55,22.0,104.0,104.0,115.0,119.0,137.0,144.0,144.0,117.32,132.88
2021,Q,7.9,2.74,4.0,3.0,3.0,6.0,8.0,10.0,12.0,12.0,6.2,9.6
2021,P,9.1,1.58,3.0,7.0,7.0,8.0,8.0,11.0,11.0,11.0,8.12,10.08
2021,D,25.1,3.91,6.0,18.0,18.0,22.0,24.0,28.0,32.0,32.0,22.68,27.52
2021,B,1388.6,32.65,47.0,1338.0,1338.0,1363.0,1394.0,1410.0,1449.0,1449.0,1368.37,1408.83
2021,J,125.5,14.12,27.0,102.0,102.0,112.0,124.0,139.0,148.0,148.0,116.75,134.25
2021,C,6.67,5.33,9.0,2.0,2.0,3.0,3.0,12.0,16.0,16.0,3.36,9.97
