ay,alpha,beta,expectation
-3,0.253,8967.5,2.8212195E-5
-2,14.25,8759.75,0.0016241167
-1,38.0,8277.75,0.004569642
0,47.25,7886.75,0.005955382
1,36.75,7606.75,0.004808007
2,18.0,7305.5,0.0024578413
3,14.25,7027.0,0.0020237884
4,10.25,6789.25,0.0015074637
5,12.0,6547.25,0.0018294775
6,11.75,6289.25,0.0018647833
7,10.25,6097.5,0.0016781958
8,5.75,5871.5,9.783487E-4
9,6.75,5655.25,0.0011921582
10,8.25,5549.5,0.0014844136
11,3.252,5573.75,5.83109E-4
12,1.503,5674.0,2.6482233E-4
13,1.003,5947.75,1.6860677E-4
14,0.253,7362.0,3.436448E-5
15,0.253,8424.25,3.0031446E-5
16,0.503,9191.0,5.4724456E-5
17,1.503,10314.75,1.4569244E-4
18,0.753,12236.5,6.153342E-5
19,0.253,14250.5,1.7753448E-5
