ay,need,setting,ay-destination,need-destination,setting-destination,expectation,normalisation-constant,alpha
-3,T,A,-2,T,P,1.0,1.0,1.0
-3,T,P,-2,T,A,1.0,1.0,1.0
-3,U,A,-2,U,P,1.0,1.0,1.0
-3,U,P,-2,U,A,1.0,1.0,1.0
-3,V,A,-2,V,P,1.0,1.0,1.0
-3,V,P,-2,V,A,1.0,1.0,1.0
-3,W,A,-2,W,P,1.0,1.0,1.0
-3,W,P,-2,W,A,1.0,1.0,1.0
-3,X,A,-2,X,P,1.0,1.0,1.0
-3,X,P,-2,X,A,1.0,1.0,1.0
-3,Y,A,-2,Y,P,1.0,1.0,1.0
-3,Y,P,-2,Y,A,1.0,1.0,1.0
-2,T,A,-1,T,B,0.738255033557047,1.0,0.738255033557047
-2,T,A,-1,T,F,0.16778523489932887,1.0,0.16778523489932887
-2,T,A,-1,T,G,0.006711409395973155,1.0,0.006711409395973155
-2,T,A,-1,T,J,0.006711409395973155,1.0,0.006711409395973155
-2,T,A,-1,T,P,0.07382550335570472,1.0,0.07382550335570472
-2,T,A,-1,T,Q,0.006711409395973155,1.0,0.006711409395973155
-2,T,G,-1,T,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,T,G,-1,T,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,T,G,-1,T,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,T,G,-1,T,J,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,T,G,-1,T,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,T,G,-1,T,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,T,J,-1,T,A,0.18737672583826426,6.000000000000001,1.1242603550295858
-2,T,J,-1,T,B,0.6084812623274161,6.000000000000001,3.650887573964497
-2,T,J,-1,T,F,0.19132149901380668,6.000000000000001,1.1479289940828403
-2,T,J,-1,T,G,9.861932938856014E-4,6.000000000000001,0.005917159763313609
-2,T,J,-1,T,P,0.010848126232741616,6.000000000000001,0.0650887573964497
-2,T,J,-1,T,Q,9.861932938856014E-4,6.000000000000001,0.005917159763313609
-2,T,P,-1,T,A,0.5220125786163522,6.0,3.1320754716981134
-2,T,P,-1,T,B,0.4486373165618449,6.0,2.6918238993710695
-2,T,P,-1,T,F,0.026205450733752623,6.0,0.15723270440251574
-2,T,P,-1,T,G,0.001048218029350105,6.0,0.00628930817610063
-2,T,P,-1,T,J,0.001048218029350105,6.0,0.00628930817610063
-2,T,P,-1,T,Q,0.001048218029350105,6.0,0.00628930817610063
-2,T,Q,-1,T,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,T,Q,-1,T,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,T,Q,-1,T,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,T,Q,-1,T,G,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,T,Q,-1,T,J,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,T,Q,-1,T,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,U,A,-1,U,B,0.8691275167785233,2.0000000000000004,1.738255033557047
-2,U,A,-1,U,F,0.08389261744966442,2.0000000000000004,0.16778523489932887
-2,U,A,-1,U,G,0.0033557046979865767,2.0000000000000004,0.006711409395973155
-2,U,A,-1,U,J,0.0033557046979865767,2.0000000000000004,0.006711409395973155
-2,U,A,-1,U,P,0.03691275167785235,2.0000000000000004,0.07382550335570472
-2,U,A,-1,U,Q,0.0033557046979865767,2.0000000000000004,0.006711409395973155
-2,U,G,-1,U,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,U,G,-1,U,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,U,G,-1,U,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,U,G,-1,U,J,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,U,G,-1,U,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,U,G,-1,U,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,U,J,-1,U,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,U,J,-1,U,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,U,J,-1,U,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,U,J,-1,U,G,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,U,J,-1,U,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,U,J,-1,U,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,U,P,-1,U,A,0.016509433962264158,7.999999999999999,0.13207547169811323
-2,U,P,-1,U,B,0.9614779874213838,7.999999999999999,7.6918238993710695
-2,U,P,-1,U,F,0.01965408805031447,7.999999999999999,0.15723270440251574
-2,U,P,-1,U,G,7.861635220125789E-4,7.999999999999999,0.00628930817610063
-2,U,P,-1,U,J,7.861635220125789E-4,7.999999999999999,0.00628930817610063
-2,U,P,-1,U,Q,7.861635220125789E-4,7.999999999999999,0.00628930817610063
-2,U,Q,-1,U,A,0.031065088757396452,3.9999999999999996,0.1242603550295858
-2,U,Q,-1,U,B,0.9127218934911243,3.9999999999999996,3.650887573964497
-2,U,Q,-1,U,F,0.03698224852071006,3.9999999999999996,0.14792899408284022
-2,U,Q,-1,U,G,0.0014792899408284025,3.9999999999999996,0.005917159763313609
-2,U,Q,-1,U,J,0.0014792899408284025,3.9999999999999996,0.005917159763313609
-2,U,Q,-1,U,P,0.01627218934911243,3.9999999999999996,0.0650887573964497
-2,V,A,-1,V,B,0.738255033557047,1.0,0.738255033557047
-2,V,A,-1,V,F,0.16778523489932887,1.0,0.16778523489932887
-2,V,A,-1,V,G,0.006711409395973155,1.0,0.006711409395973155
-2,V,A,-1,V,J,0.006711409395973155,1.0,0.006711409395973155
-2,V,A,-1,V,P,0.07382550335570472,1.0,0.07382550335570472
-2,V,A,-1,V,Q,0.006711409395973155,1.0,0.006711409395973155
-2,V,G,-1,V,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,V,G,-1,V,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,V,G,-1,V,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,V,G,-1,V,J,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,V,G,-1,V,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,V,G,-1,V,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,V,J,-1,V,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,V,J,-1,V,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,V,J,-1,V,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,V,J,-1,V,G,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,V,J,-1,V,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,V,J,-1,V,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,V,P,-1,V,A,0.13207547169811323,1.0,0.13207547169811323
-2,V,P,-1,V,B,0.6918238993710693,1.0,0.6918238993710693
-2,V,P,-1,V,F,0.15723270440251574,1.0,0.15723270440251574
-2,V,P,-1,V,G,0.00628930817610063,1.0,0.00628930817610063
-2,V,P,-1,V,J,0.00628930817610063,1.0,0.00628930817610063
-2,V,P,-1,V,Q,0.00628930817610063,1.0,0.00628930817610063
-2,V,Q,-1,V,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,V,Q,-1,V,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,V,Q,-1,V,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,V,Q,-1,V,G,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,V,Q,-1,V,J,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,V,Q,-1,V,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,W,A,-1,W,B,0.738255033557047,1.0,0.738255033557047
-2,W,A,-1,W,F,0.16778523489932887,1.0,0.16778523489932887
-2,W,A,-1,W,G,0.006711409395973155,1.0,0.006711409395973155
-2,W,A,-1,W,J,0.006711409395973155,1.0,0.006711409395973155
-2,W,A,-1,W,P,0.07382550335570472,1.0,0.07382550335570472
-2,W,A,-1,W,Q,0.006711409395973155,1.0,0.006711409395973155
-2,W,G,-1,W,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,W,G,-1,W,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,W,G,-1,W,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,W,G,-1,W,J,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,W,G,-1,W,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,W,G,-1,W,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,W,J,-1,W,A,0.12426035502958581,0.9999999999999999,0.1242603550295858
-2,W,J,-1,W,B,0.650887573964497,0.9999999999999999,0.6508875739644969
-2,W,J,-1,W,F,0.14792899408284024,0.9999999999999999,0.14792899408284022
-2,W,J,-1,W,G,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,W,J,-1,W,P,0.06508875739644972,0.9999999999999999,0.0650887573964497
-2,W,J,-1,W,Q,0.00591715976331361,0.9999999999999999,0.005917159763313609
-2,W,P,-1,W,A,0.13207547169811323,1.0,0.13207547169811323
-2,W,P,-1,W,B,0.6918238993710693,1.0,0.6918238993710693
-2,W,P,-1,W,F,0.15723270440251574,1.0,0.15723270440251574
-2,W,P,-1,W,G,0.00628930817610063,1.0,0.00628930817610063
-2,W,P,-1,W,J,0.00628930817610063,1.0,0.00628930817610063
-2,W,P,-1,W,Q,0.00628930817610063,1.0,0.00628930817610063
