calendar-year,ay-group,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,NCY 7-11,753.0,0.0,0.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0
2017,NCY 14+,127.0,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
2017,NCY 12-13,198.0,0.0,0.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
2017,NCY 1-6,921.0,0.0,0.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0
2017,NCY < 1,154.0,0.0,0.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
2018,NCY < 1,167.7,9.18,11.0,157.0,157.0,161.0,165.0,172.0,189.0,189.0,162.01,173.39
2018,NCY 7-11,778.5,8.72,10.0,762.0,762.0,772.0,778.0,782.0,795.0,795.0,773.09,783.91
2018,NCY 14+,151.5,10.82,12.0,133.0,133.0,145.0,150.0,157.0,169.0,169.0,144.79,158.21
2018,NCY 1-6,970.3,23.07,37.0,932.0,932.0,954.0,961.0,991.0,1012.0,1012.0,956.0,984.6
2018,NCY 12-13,189.4,12.38,16.0,174.0,174.0,178.0,188.0,194.0,220.0,220.0,181.73,197.07
2019,NCY < 1,164.9,10.6,13.0,142.0,142.0,161.0,161.0,174.0,181.0,181.0,158.33,171.47
2019,NCY 7-11,845.1,16.58,27.0,811.0,811.0,830.0,847.0,857.0,864.0,864.0,834.82,855.38
2019,NCY 14+,141.8,13.8,27.0,123.0,123.0,129.0,141.0,156.0,162.0,162.0,133.24,150.36
2019,NCY 1-6,983.3,15.46,22.0,949.0,949.0,975.0,980.0,997.0,1007.0,1007.0,973.72,992.88
2019,NCY 12-13,189.3,11.76,15.0,169.0,169.0,183.0,188.0,198.0,211.0,211.0,182.01,196.59
2020,NCY < 1,165.3,18.55,30.0,135.0,135.0,152.0,160.0,182.0,202.0,202.0,153.8,176.8
2020,NCY 7-11,856.0,22.55,43.0,825.0,825.0,836.0,847.0,879.0,890.0,890.0,842.02,869.98
2020,NCY 14+,133.5,13.37,23.0,120.0,120.0,123.0,129.0,146.0,160.0,160.0,125.22,141.78
2020,NCY 1-6,1015.0,26.99,22.0,980.0,980.0,1001.0,1008.0,1023.0,1083.0,1083.0,998.27,1031.73
2020,NCY 12-13,225.3,9.65,8.0,206.0,206.0,222.0,226.0,230.0,240.0,240.0,219.32,231.28
2021,NCY < 1,163.6,18.94,35.0,141.0,141.0,144.0,157.0,179.0,199.0,199.0,151.86,175.34
2021,NCY 7-11,923.8,27.12,28.0,862.0,862.0,918.0,924.0,946.0,957.0,957.0,906.99,940.61
2021,NCY 14+,127.8,14.7,23.0,106.0,106.0,118.0,121.0,141.0,155.0,155.0,118.69,136.91
2021,NCY 1-6,1035.5,24.41,34.0,1001.0,1001.0,1017.0,1026.0,1051.0,1075.0,1075.0,1020.37,1050.63
2021,NCY 12-13,218.7,12.66,13.0,191.0,191.0,213.0,217.0,226.0,240.0,240.0,210.85,226.55
2022,NCY < 1,177.8,21.45,41.0,148.0,148.0,153.0,177.0,194.0,208.0,208.0,164.51,191.09
2022,NCY 7-11,959.2,30.38,39.0,899.0,899.0,942.0,953.0,981.0,1011.0,1011.0,940.37,978.03
2022,NCY 14+,152.6,13.28,13.0,130.0,130.0,145.0,156.0,158.0,180.0,180.0,144.37,160.83
2022,NCY 1-6,1039.0,29.22,56.0,1006.0,1006.0,1007.0,1025.0,1063.0,1092.0,1092.0,1020.89,1057.11
2022,NCY 12-13,210.9,12.21,16.0,192.0,192.0,203.0,206.0,219.0,233.0,233.0,203.33,218.47
