calendar-year,need,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,Y,228.0,0.0,0.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0
2017,W,39.0,0.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2017,U,471.0,0.0,0.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0
2017,X,220.0,0.0,0.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
2017,T,1144.0,0.0,0.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0
2017,V,51.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2018,T,1218.6,14.81,26.0,1196.0,1196.0,1208.0,1215.0,1234.0,1240.0,1240.0,1209.42,1227.78
2018,Y,234.7,7.67,7.0,223.0,223.0,231.0,234.0,238.0,249.0,249.0,229.95,239.45
2018,U,491.3,10.69,17.0,474.0,474.0,483.0,484.0,500.0,510.0,510.0,484.68,497.92
2018,X,225.5,10.63,14.0,212.0,212.0,217.0,221.0,231.0,246.0,246.0,218.91,232.09
2018,W,37.9,3.14,5.0,33.0,33.0,35.0,38.0,40.0,44.0,44.0,35.95,39.85
2018,V,45.5,2.69,5.0,42.0,42.0,43.0,45.0,48.0,50.0,50.0,43.83,47.17
2019,T,1282.7,15.22,25.0,1257.0,1257.0,1270.0,1284.0,1295.0,1300.0,1300.0,1273.27,1292.13
2019,Y,242.7,12.25,17.0,228.0,228.0,231.0,240.0,248.0,264.0,264.0,235.11,250.29
2019,U,513.4,19.91,35.0,479.0,479.0,496.0,514.0,531.0,539.0,539.0,501.06,525.74
2019,X,223.0,11.9,15.0,203.0,203.0,216.0,218.0,231.0,243.0,243.0,215.62,230.38
2019,V,44.0,5.2,8.0,37.0,37.0,40.0,42.0,48.0,54.0,54.0,40.78,47.22
2019,W,27.2,6.21,11.0,20.0,20.0,22.0,24.0,33.0,38.0,38.0,23.35,31.05
2020,T,1340.0,31.05,50.0,1294.0,1294.0,1320.0,1325.0,1370.0,1390.0,1390.0,1320.76,1359.24
2020,Y,249.4,13.97,19.0,230.0,230.0,236.0,247.0,255.0,275.0,275.0,240.74,258.06
2020,U,530.8,15.73,24.0,505.0,505.0,516.0,534.0,540.0,553.0,553.0,521.05,540.55
2020,X,224.1,17.2,21.0,184.0,184.0,215.0,225.0,236.0,249.0,249.0,213.44,234.76
2020,V,43.2,5.13,5.0,33.0,33.0,41.0,41.0,46.0,52.0,52.0,40.02,46.38
2020,W,28.1,6.74,11.0,20.0,20.0,23.0,25.0,34.0,39.0,39.0,23.92,32.28
2021,T,1406.3,28.82,22.0,1348.0,1348.0,1395.0,1402.0,1417.0,1459.0,1459.0,1388.44,1424.16
2021,Y,258.5,13.84,17.0,230.0,230.0,250.0,259.0,267.0,277.0,277.0,249.92,267.08
2021,U,544.3,19.78,14.0,514.0,514.0,533.0,543.0,547.0,585.0,585.0,532.04,556.56
2021,X,228.2,17.72,16.0,201.0,201.0,216.0,227.0,232.0,262.0,262.0,217.21,239.19
2021,W,26.5,5.94,8.0,16.0,16.0,23.0,24.0,31.0,37.0,37.0,22.82,30.18
2021,V,44.3,6.56,12.0,34.0,34.0,39.0,43.0,51.0,54.0,54.0,40.24,48.36
2022,T,1465.3,15.89,15.0,1432.0,1432.0,1460.0,1464.0,1475.0,1493.0,1493.0,1455.45,1475.15
2022,Y,265.6,16.95,17.0,228.0,228.0,258.0,270.0,275.0,293.0,293.0,255.1,276.1
2022,X,238.1,23.86,24.0,217.0,217.0,221.0,224.0,245.0,286.0,286.0,223.31,252.89
2022,V,45.6,4.67,5.0,36.0,36.0,43.0,46.0,48.0,53.0,53.0,42.7,48.5
2022,U,559.7,19.99,27.0,535.0,535.0,542.0,552.0,569.0,605.0,605.0,547.31,572.09
2022,W,21.9,6.49,11.0,13.0,13.0,16.0,19.0,27.0,32.0,32.0,17.88,25.92
