calendar-year,ay-group,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,NCY 7-11,753.0,0.0,0.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0,753.0
2017,NCY 14+,127.0,0.0,0.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
2017,NCY 12-13,198.0,0.0,0.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
2017,NCY 1-6,921.0,0.0,0.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0,921.0
2017,NCY < 1,154.0,0.0,0.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0,154.0
2018,NCY < 1,170.55,14.87,20.0,119.0,143.0,160.0,170.0,180.0,201.0,219.0,169.63,171.47
2018,NCY 7-11,779.83,10.33,14.0,752.0,760.0,773.0,779.0,787.0,800.0,822.0,779.19,780.47
2018,NCY 14+,145.9,8.07,10.0,118.0,130.0,141.0,146.0,151.0,162.0,173.0,145.4,146.4
2018,NCY 1-6,966.32,16.66,22.0,915.0,935.0,955.0,966.0,977.0,1000.0,1024.0,965.28,967.35
2018,NCY 12-13,191.39,8.48,11.0,160.0,174.0,186.0,191.0,197.0,208.0,220.0,190.86,191.91
2019,NCY < 1,164.02,17.08,25.0,113.0,132.0,152.0,163.0,177.0,199.0,215.0,162.96,165.08
2019,NCY 7-11,847.01,14.73,19.0,805.0,819.0,837.0,847.0,856.0,878.0,897.0,846.1,847.92
2019,NCY 14+,137.83,10.71,14.0,102.0,117.0,131.0,138.0,145.0,159.0,180.0,137.16,138.49
2019,NCY 1-6,988.14,25.37,34.0,891.0,941.0,971.0,987.0,1005.0,1040.0,1074.0,986.57,989.72
2019,NCY 12-13,192.99,10.45,14.0,162.0,173.0,186.0,193.0,200.0,214.0,224.0,192.34,193.64
2020,NCY < 1,171.45,17.77,24.0,123.0,139.0,159.0,171.0,183.0,208.0,236.0,170.35,172.55
2020,NCY 7-11,857.09,18.81,26.0,792.0,821.0,844.0,856.0,870.0,895.0,927.0,855.93,858.26
2020,NCY 14+,136.51,12.04,16.0,103.0,113.0,128.0,136.0,144.0,163.0,180.0,135.76,137.25
2020,NCY 1-6,1013.25,30.83,41.0,905.0,956.0,993.0,1011.0,1034.0,1077.0,1126.0,1011.34,1015.17
2020,NCY 12-13,226.47,11.01,15.0,185.0,205.0,219.0,227.0,234.0,247.0,269.0,225.78,227.15
2021,NCY < 1,175.25,18.43,26.0,125.0,140.0,162.0,174.0,188.0,212.0,231.0,174.1,176.39
2021,NCY 7-11,915.86,22.28,30.0,833.0,875.0,901.0,916.0,931.0,959.0,990.0,914.48,917.24
2021,NCY 14+,134.67,12.81,17.0,95.0,111.0,126.0,134.0,143.0,161.0,181.0,133.88,135.47
2021,NCY 1-6,1041.63,36.99,50.0,930.0,966.0,1017.0,1043.0,1067.0,1113.0,1181.0,1039.34,1043.93
2021,NCY 12-13,217.38,11.33,15.0,171.0,196.0,210.0,217.0,225.0,239.0,255.0,216.68,218.08
2022,NCY < 1,181.25,19.24,25.0,124.0,145.0,169.0,181.0,194.0,220.0,249.0,180.06,182.44
2022,NCY 7-11,961.57,25.91,36.0,889.0,913.0,943.0,961.0,979.0,1013.0,1036.0,959.96,963.17
2022,NCY 14+,153.87,13.56,18.0,113.0,127.0,145.0,154.0,163.0,181.0,203.0,153.03,154.71
2022,NCY 1-6,1055.71,39.99,52.0,929.0,978.0,1029.0,1055.0,1081.0,1137.0,1165.0,1053.23,1058.18
2022,NCY 12-13,209.74,11.98,15.0,175.0,187.0,202.0,209.0,217.0,235.0,248.0,209.0,210.48
