calendar-year,need,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,Y,228.0,0.0,0.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0,228.0
2017,W,39.0,0.0,0.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
2017,U,471.0,0.0,0.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0
2017,X,220.0,0.0,0.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0,220.0
2017,T,1144.0,0.0,0.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0,1144.0
2017,V,51.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2018,T,1222.27,18.14,24.0,1171.0,1186.0,1210.0,1222.0,1234.0,1258.0,1280.0,1221.15,1223.4
2018,Y,234.14,7.42,10.0,213.0,221.0,229.0,234.0,239.0,250.0,263.0,233.68,234.6
2018,U,492.29,10.6,14.0,452.0,472.0,485.0,492.0,499.0,513.0,526.0,491.63,492.94
2018,X,221.7,9.55,13.0,193.0,204.0,215.0,221.0,228.0,241.0,250.0,221.11,222.29
2018,W,37.6,3.86,5.0,23.0,29.0,35.0,38.0,40.0,45.0,51.0,37.36,37.84
2018,V,45.99,3.71,5.0,36.0,39.0,43.0,46.0,48.0,53.0,60.0,45.76,46.21
2019,T,1288.9,24.17,33.0,1222.0,1242.0,1272.0,1289.0,1305.0,1335.0,1372.0,1287.4,1290.4
2019,Y,240.27,9.68,13.0,215.0,222.0,234.0,240.0,247.0,260.0,277.0,239.67,240.87
2019,U,510.67,14.71,19.0,463.0,481.0,501.0,511.0,520.0,539.0,559.0,509.75,511.58
2019,X,220.01,12.67,16.0,183.0,195.0,212.0,220.0,228.0,246.0,264.0,219.22,220.8
2019,V,43.52,4.63,6.0,31.0,35.0,40.0,43.0,46.0,53.0,62.0,43.24,43.81
2019,W,26.62,5.1,7.0,13.0,18.0,23.0,26.0,30.0,38.0,42.0,26.31,26.94
2020,T,1343.17,28.66,38.0,1262.0,1285.0,1324.0,1342.0,1362.0,1399.0,1428.0,1341.4,1344.95
2020,Y,245.81,11.9,17.0,214.0,223.0,237.0,246.0,254.0,270.0,286.0,245.07,246.54
2020,W,25.83,5.16,7.0,13.0,17.0,22.0,26.0,29.0,37.0,42.0,25.51,26.15
2020,U,527.07,17.64,25.0,464.0,491.0,515.0,527.0,540.0,561.0,584.0,525.98,528.16
2020,X,219.46,14.09,18.0,177.0,193.0,210.0,220.0,228.0,250.0,267.0,218.59,220.34
2020,V,43.43,5.27,7.0,29.0,33.0,40.0,43.0,47.0,54.0,63.0,43.11,43.76
2021,T,1400.01,33.49,46.0,1283.0,1334.0,1377.0,1400.0,1423.0,1461.0,1500.0,1397.94,1402.09
2021,Y,252.89,13.42,18.0,217.0,229.0,244.0,252.0,262.0,281.0,298.0,252.06,253.72
2021,U,538.68,19.68,26.0,481.0,499.0,526.0,538.0,552.0,580.0,597.0,537.46,539.9
2021,X,225.88,15.68,21.0,174.0,195.0,215.0,226.0,236.0,258.0,281.0,224.91,226.85
2021,V,42.68,5.37,7.0,26.0,32.0,39.0,43.0,46.0,53.0,68.0,42.34,43.01
2021,W,24.65,5.3,7.0,10.0,15.0,21.0,24.0,28.0,35.0,43.0,24.32,24.98
2022,T,1454.96,36.81,49.0,1346.0,1378.0,1432.0,1454.0,1481.0,1527.0,1584.0,1452.68,1457.24
2022,Y,260.68,14.38,19.0,214.0,234.0,251.0,260.0,270.0,290.0,310.0,259.79,261.57
2022,U,548.98,22.11,27.0,465.0,505.0,535.0,549.0,562.0,593.0,612.0,547.6,550.35
2022,X,232.29,16.69,23.0,190.0,200.0,221.0,232.0,244.0,267.0,281.0,231.26,233.33
2022,W,22.28,5.34,8.0,10.0,13.0,18.0,22.0,26.0,33.0,42.0,21.95,22.61
2022,V,42.93,5.85,8.0,25.0,32.0,39.0,43.0,47.0,55.0,62.0,42.57,43.3
