calendar-year,setting,mean,std-dev,iqr,min,low-95pc-bound,q1,median,q3,high-95pc-bound,max,low-ci,high-ci
2017,L,61.0,0.0,0.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
2017,M,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017,I,29.0,0.0,0.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0
2017,R,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2017,O,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2017,A,390.0,0.0,0.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0,390.0
2017,F,118.0,0.0,0.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0,118.0
2017,Q,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2017,P,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2017,D,16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
2017,B,1208.0,0.0,0.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0,1208.0
2017,J,51.0,0.0,0.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
2017,C,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2017,E,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
2017,G,21.0,0.0,0.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
2017,H,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
2017,S,79.0,0.0,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
2017,N,36.0,0.0,0.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0
2017,K,17.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2018,L,58.99,4.95,6.0,43.0,49.0,56.0,59.0,62.0,69.0,76.0,58.68,59.3
2018,M,1.37,0.75,1.0,1.0,1.0,1.0,1.0,2.0,3.0,8.0,1.32,1.41
2018,I,32.88,3.49,5.0,22.0,26.0,30.0,33.0,35.0,40.0,46.0,32.67,33.1
2018,R,36.66,5.03,7.0,22.0,28.0,33.0,36.0,40.0,48.0,53.0,36.34,36.97
2018,O,2.24,0.85,1.0,1.0,1.0,2.0,2.0,3.0,4.0,6.0,2.19,2.29
2018,A,408.34,9.92,12.0,379.0,389.0,402.0,408.0,414.0,429.0,442.0,407.73,408.96
2018,F,122.19,6.39,8.0,104.0,111.0,118.0,122.0,126.0,135.0,145.0,121.79,122.58
2018,Q,7.07,3.1,4.0,1.0,2.0,5.0,7.0,9.0,14.0,19.0,6.87,7.26
2018,P,8.45,3.37,4.0,1.0,2.0,6.0,8.0,10.0,15.0,21.0,8.24,8.65
2018,D,18.26,2.99,4.0,8.0,12.0,16.0,18.0,20.0,24.0,29.0,18.08,18.45
2018,B,1260.79,22.11,31.0,1180.0,1218.0,1246.0,1260.0,1277.0,1304.0,1343.0,1259.42,1262.16
2018,J,65.66,6.98,9.0,46.0,52.0,61.0,66.0,70.0,80.0,90.0,65.23,66.09
2018,C,5.03,2.05,2.0,1.0,1.0,4.0,5.0,6.0,9.0,13.0,4.9,5.16
2018,E,30.29,3.99,5.0,20.0,23.0,28.0,30.0,33.0,38.0,44.0,30.04,30.53
2018,G,23.35,3.53,5.0,14.0,17.0,21.0,23.0,26.0,31.0,40.0,23.14,23.57
2018,H,38.8,3.0,4.0,30.0,33.0,37.0,39.0,41.0,44.0,49.0,38.61,38.98
2018,S,81.6,7.84,10.0,57.0,65.0,77.0,82.0,87.0,97.0,105.0,81.11,82.08
2018,N,35.24,5.14,8.0,20.0,26.0,31.0,35.0,39.0,46.0,54.0,34.92,35.56
2018,K,17.17,3.39,4.0,8.0,11.0,15.0,17.0,19.0,24.0,28.0,16.95,17.38
2019,L,57.93,6.3,8.0,40.0,46.0,54.0,58.0,62.0,70.0,83.0,57.54,58.32
2019,M,1.52,0.91,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,1.46,1.58
2019,I,36.99,5.03,7.0,22.0,28.0,33.0,37.0,40.0,48.0,57.0,36.68,37.31
2019,R,37.45,6.17,8.0,21.0,26.0,33.0,37.0,41.0,51.0,59.0,37.07,37.84
2019,O,1.81,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.75,1.87
2019,A,430.51,13.68,19.0,374.0,404.0,421.0,430.0,440.0,459.0,474.0,429.66,431.35
2019,F,125.55,8.71,12.0,102.0,110.0,119.0,125.0,131.0,143.0,157.0,125.01,126.09
2019,Q,7.97,3.24,4.0,1.0,2.0,6.0,8.0,10.0,15.0,22.0,7.77,8.17
2019,P,8.96,3.56,5.0,1.0,3.0,6.0,9.0,11.0,17.0,23.0,8.74,9.18
2019,D,20.18,4.02,6.0,8.0,13.0,17.0,20.0,23.0,29.0,39.0,19.93,20.43
2019,B,1297.39,29.27,40.0,1204.0,1242.0,1276.0,1297.0,1316.0,1355.0,1400.0,1295.58,1299.21
2019,J,76.7,9.1,13.0,53.0,60.0,70.0,76.0,83.0,95.0,110.0,76.14,77.27
2019,C,6.54,2.71,3.0,1.0,2.0,5.0,6.0,8.0,12.0,17.0,6.37,6.71
2019,E,32.51,5.08,7.0,21.0,23.0,29.0,32.0,36.0,43.0,48.0,32.19,32.82
2019,G,26.84,4.91,6.0,14.0,18.0,24.0,27.0,30.0,38.0,44.0,26.54,27.15
2019,H,33.83,3.81,5.0,23.0,27.0,31.0,34.0,36.0,42.0,47.0,33.6,34.07
2019,S,72.05,9.74,14.0,45.0,54.0,65.0,72.0,79.0,91.0,107.0,71.45,72.66
2019,N,36.51,6.26,9.0,19.0,25.0,32.0,36.0,41.0,49.0,61.0,36.13,36.9
2019,K,19.52,4.23,5.0,5.0,12.0,17.0,19.0,22.0,27.0,35.0,19.26,19.79
2020,L,57.33,7.17,9.0,36.0,44.0,53.0,57.0,62.0,72.0,87.0,56.89,57.78
2020,M,1.62,0.91,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,1.57,1.68
2020,I,40.95,6.09,8.0,27.0,30.0,37.0,41.0,45.0,54.0,69.0,40.58,41.33
2020,R,37.11,6.65,9.0,21.0,25.0,32.0,37.0,41.0,51.0,58.0,36.7,37.52
2020,O,1.83,1.05,1.0,1.0,1.0,1.0,2.0,2.0,4.0,7.0,1.77,1.9
2020,A,452.57,16.39,22.0,405.0,421.0,441.0,453.0,463.0,484.0,501.0,451.56,453.59
2020,F,124.79,9.9,13.0,96.0,107.0,118.0,125.0,131.0,145.0,158.0,124.18,125.41
2020,Q,8.57,3.33,5.0,1.0,3.0,6.0,8.0,11.0,16.0,19.0,8.37,8.78
2020,P,9.32,3.66,5.0,1.0,3.0,7.0,9.0,12.0,17.0,28.0,9.09,9.54
2020,D,20.38,4.62,6.0,7.0,12.0,17.0,20.0,23.0,30.0,38.0,20.09,20.66
2020,B,1335.82,34.12,46.0,1243.0,1270.0,1312.0,1335.0,1358.0,1405.0,1445.0,1333.7,1337.93
2020,J,82.65,10.24,15.0,54.0,63.0,75.0,83.0,90.0,103.0,125.0,82.02,83.29
2020,C,7.95,3.02,4.0,2.0,3.0,6.0,8.0,10.0,14.0,19.0,7.76,8.14
2020,E,35.39,5.9,8.0,17.0,24.0,31.0,35.0,39.0,47.0,55.0,35.02,35.75
2020,G,29.08,5.29,7.0,16.0,19.0,25.0,29.0,32.0,40.0,49.0,28.75,29.4
2020,H,31.89,4.76,6.0,18.0,23.0,29.0,32.0,35.0,42.0,47.0,31.6,32.19
2020,S,72.49,9.91,13.0,44.0,54.0,66.0,72.0,79.0,93.0,107.0,71.87,73.1
2020,N,37.33,7.0,9.0,16.0,24.0,33.0,37.0,42.0,52.0,60.0,36.89,37.76
2020,K,18.95,4.63,6.0,6.0,10.0,16.0,19.0,22.0,28.0,36.0,18.66,19.23
2021,L,59.04,7.99,11.0,37.0,44.0,53.0,59.0,64.0,76.0,87.0,58.54,59.53
2021,M,1.58,0.94,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0,1.52,1.64
2021,I,45.48,6.91,9.0,21.0,33.0,41.0,45.0,50.0,60.0,74.0,45.05,45.9
2021,R,36.44,6.81,10.0,15.0,24.0,31.0,36.0,41.0,50.0,59.0,36.02,36.86
2021,O,2.03,1.25,2.0,1.0,1.0,1.0,2.0,3.0,5.0,9.0,1.96,2.11
2021,A,471.27,18.65,25.0,417.0,434.0,459.0,471.0,484.0,507.0,527.0,470.11,472.42
2021,F,128.6,10.88,13.0,98.0,108.0,122.0,129.0,135.0,150.0,168.0,127.92,129.27
2021,Q,8.65,3.33,5.0,1.0,3.0,6.0,8.0,11.0,15.0,23.0,8.44,8.85
2021,P,9.8,4.0,5.0,1.0,3.0,7.0,9.0,12.0,19.0,27.0,9.55,10.05
2021,D,22.09,5.09,6.0,9.0,12.0,19.0,22.0,25.0,33.0,43.0,21.78,22.41
2021,B,1380.05,38.57,51.0,1258.0,1306.0,1354.0,1380.0,1405.0,1458.0,1487.0,1377.65,1382.44
2021,J,86.11,10.77,14.0,55.0,65.0,79.0,86.0,93.0,108.0,122.0,85.45,86.78
2021,C,7.95,3.08,4.0,1.0,2.0,6.0,8.0,10.0,15.0,19.0,7.76,8.14
