calendar-year,academic-year,need,setting,population
2017,-3,T,A,0.0
2017,-3,T,P,0.0
2017,-3,U,A,0.0
2017,-3,U,P,0.0
2017,-3,V,A,0.0
2017,-3,V,P,0.0
2017,-3,W,A,0.0
2017,-3,W,P,0.0
2017,-3,X,A,0.0
2017,-3,X,P,0.0
2017,-3,Y,A,0.0
2017,-3,Y,P,0.0
2017,-2,T,A,0.0
2017,-2,T,G,0.0
2017,-2,T,J,0.0
2017,-2,T,P,0.0
2017,-2,T,Q,0.0
2017,-2,U,A,1.0
2017,-2,U,G,0.0
2017,-2,U,J,3.0
2017,-2,U,P,0.0
2017,-2,U,Q,1.0
2017,-2,V,A,0.0
2017,-2,V,G,0.0
2017,-2,V,J,0.0
2017,-2,V,P,0.0
2017,-2,V,Q,0.0
2017,-2,W,A,0.0
2017,-2,W,G,0.0
2017,-2,W,J,0.0
2017,-2,W,P,0.0
2017,-2,W,Q,0.0
2017,-2,X,A,0.0
2017,-2,X,G,0.0
2017,-2,X,J,0.0
2017,-2,X,P,0.0
2017,-2,X,Q,0.0
2017,-2,Y,A,0.0
2017,-2,Y,G,0.0
2017,-2,Y,J,0.0
2017,-2,Y,P,3.0
2017,-2,Y,Q,0.0
2017,-1,T,A,2.0
2017,-1,T,B,18.0
2017,-1,T,F,2.0
2017,-1,T,G,0.0
2017,-1,T,J,1.0
2017,-1,T,P,3.0
2017,-1,T,Q,7.0
2017,-1,T,R,0.0
2017,-1,U,A,6.0
2017,-1,U,B,6.0
2017,-1,U,F,0.0
2017,-1,U,G,0.0
2017,-1,U,J,0.0
2017,-1,U,P,0.0
2017,-1,U,Q,1.0
2017,-1,U,R,0.0
2017,-1,V,A,0.0
2017,-1,V,B,0.0
2017,-1,V,F,0.0
2017,-1,V,G,0.0
2017,-1,V,J,1.0
2017,-1,V,P,0.0
2017,-1,V,Q,0.0
2017,-1,V,R,0.0
2017,-1,W,A,0.0
2017,-1,W,B,0.0
2017,-1,W,F,0.0
2017,-1,W,G,0.0
2017,-1,W,J,0.0
2017,-1,W,P,0.0
2017,-1,W,Q,0.0
2017,-1,W,R,0.0
2017,-1,X,A,0.0
2017,-1,X,B,0.0
2017,-1,X,F,0.0
2017,-1,X,G,0.0
2017,-1,X,J,0.0
2017,-1,X,P,0.0
2017,-1,X,Q,0.0
2017,-1,X,R,0.0
2017,-1,Y,A,0.0
2017,-1,Y,B,3.0
2017,-1,Y,F,3.0
2017,-1,Y,G,0.0
2017,-1,Y,J,3.0
2017,-1,Y,P,0.0
2017,-1,Y,Q,0.0
2017,-1,Y,R,0.0
2017,0,T,A,4.0
2017,0,T,B,38.0
2017,0,T,F,3.0
2017,0,T,G,0.0
2017,0,T,H,0.0
2017,0,T,I,0.0
2017,0,T,J,1.0
2017,0,T,K,0.0
2017,0,T,L,0.0
2017,0,T,O,0.0
2017,0,T,Q,0.0
2017,0,T,R,0.0
2017,0,U,A,7.0
2017,0,U,B,20.0
2017,0,U,F,0.0
2017,0,U,G,0.0
2017,0,U,H,0.0
2017,0,U,I,0.0
2017,0,U,J,0.0
2017,0,U,K,0.0
2017,0,U,L,0.0
2017,0,U,O,0.0
2017,0,U,Q,0.0
2017,0,U,R,0.0
2017,0,V,A,0.0
2017,0,V,B,4.0
2017,0,V,F,0.0
2017,0,V,G,0.0
2017,0,V,H,0.0
2017,0,V,I,0.0
2017,0,V,J,0.0
2017,0,V,K,0.0
2017,0,V,L,0.0
2017,0,V,O,0.0
2017,0,V,Q,0.0
2017,0,V,R,0.0
2017,0,W,A,0.0
2017,0,W,B,1.0
2017,0,W,F,0.0
2017,0,W,G,0.0
2017,0,W,H,0.0
2017,0,W,I,0.0
2017,0,W,J,0.0
2017,0,W,K,0.0
2017,0,W,L,0.0
2017,0,W,O,0.0
2017,0,W,Q,0.0
2017,0,W,R,0.0
2017,0,X,A,0.0
2017,0,X,B,0.0
2017,0,X,F,0.0
2017,0,X,G,0.0
2017,0,X,H,0.0
2017,0,X,I,0.0
2017,0,X,J,0.0
2017,0,X,K,0.0
2017,0,X,L,0.0
2017,0,X,O,0.0
2017,0,X,Q,0.0
2017,0,X,R,0.0
2017,0,Y,A,0.0
2017,0,Y,B,4.0
2017,0,Y,F,8.0
2017,0,Y,G,0.0
2017,0,Y,H,0.0
2017,0,Y,I,0.0
2017,0,Y,J,0.0
2017,0,Y,K,0.0
2017,0,Y,L,0.0
2017,0,Y,O,0.0
2017,0,Y,Q,0.0
2017,0,Y,R,0.0
2017,1,T,A,16.0
2017,1,T,B,70.0
2017,1,T,F,10.0
2017,1,T,G,0.0
2017,1,T,H,0.0
2017,1,T,I,1.0
2017,1,T,J,0.0
2017,1,T,K,0.0
2017,1,T,L,0.0
2017,1,T,O,0.0
2017,1,T,R,0.0
2017,1,U,A,12.0
2017,1,U,B,18.0
2017,1,U,F,0.0
2017,1,U,G,0.0
2017,1,U,H,0.0
