ay,alpha,beta,expectation
-3,0.25,2340.25,1.0681478E-4
-2,14.25,8759.75,0.0016241167
-1,38.0,8277.75,0.004569642
0,47.25,7886.75,0.005955382
1,36.75,7606.75,0.004808007
2,18.0,7305.5,0.0024578413
3,14.25,7027.0,0.0020237884
4,10.25,6789.25,0.0015074637
5,12.0,6547.25,0.0018294775
6,11.75,6289.25,0.0018647833
7,10.25,6097.5,0.0016781958
8,5.75,5871.5,9.783487E-4
9,6.75,5655.25,0.0011921582
10,8.25,5549.5,0.0014844136
11,4.5,5572.5,8.068854E-4
12,4.0,5671.5,7.047837E-4
13,2.0,4621.75,4.3254934E-4
14,0.5,3731.25,1.3398539E-4
15,0.25,2217.25,1.1273957E-4
16,0.5,2362.5,2.1159543E-4
17,1.75,5020.0,3.4848409E-4
18,0.75,2896.5,2.5886617E-4
19,0.5,6991.75,7.150774E-5
