calendar-year,setting-1,need-1,academic-year-1,setting-2,need-2,academic-year-2,avg-number-of
2018,-2,NONSEND,NONSEND,-1,A,U,5.0
2018,-2,NONSEND,NONSEND,-1,J,T,1.0
2018,-2,NONSEND,NONSEND,-1,J,U,1.0
2018,-2,NONSEND,NONSEND,-1,J,V,1.0
2018,-2,NONSEND,NONSEND,-1,J,Y,1.0
2018,-2,NONSEND,NONSEND,-1,P,U,1.0
2018,-2,NONSEND,NONSEND,-1,P,Y,3.0
2018,-1,A,U,0,A,U,1.0
2018,-1,J,U,0,B,U,1.0
2018,-1,J,U,0,J,U,1.0
2018,-1,NONSEND,NONSEND,0,A,T,1.0
2018,-1,NONSEND,NONSEND,0,A,U,3.0
2018,-1,NONSEND,NONSEND,0,A,V,1.0
2018,-1,NONSEND,NONSEND,0,B,T,15.0
2018,-1,NONSEND,NONSEND,0,B,U,5.0
2018,-1,NONSEND,NONSEND,0,B,X,1.0
2018,-1,NONSEND,NONSEND,0,B,Y,3.0
2018,-1,NONSEND,NONSEND,0,F,Y,1.0
2018,-1,NONSEND,NONSEND,0,J,T,1.0
2018,-1,NONSEND,NONSEND,0,J,Y,1.0
2018,-1,NONSEND,NONSEND,0,P,T,2.0
2018,-1,NONSEND,NONSEND,0,P,Y,1.0
2018,-1,NONSEND,NONSEND,0,Q,T,3.0
2018,-1,NONSEND,NONSEND,0,Q,W,1.0
2018,-1,P,Y,0,B,Y,1.0
2018,-1,P,Y,0,NONSEND,NONSEND,1.0
2018,-1,P,Y,0,P,Y,1.0
2018,-1,Q,U,0,B,U,1.0
2018,0,A,T,1,A,T,2.0
2018,0,A,U,1,A,U,6.0
2018,0,B,T,1,A,T,2.0
2018,0,B,T,1,B,T,14.0
2018,0,B,T,1,K,T,1.0
2018,0,B,U,1,B,U,6.0
2018,0,B,Y,1,B,Y,3.0
2018,0,F,T,1,F,T,2.0
2018,0,F,Y,1,F,Y,3.0
2018,0,J,T,1,B,T,1.0
2018,0,J,V,1,B,V,1.0
2018,0,J,Y,1,B,Y,2.0
2018,0,J,Y,1,F,Y,1.0
2018,0,J,Y,1,J,Y,1.0
2018,0,NONSEND,NONSEND,1,A,T,2.0
2018,0,NONSEND,NONSEND,1,B,T,35.0
2018,0,NONSEND,NONSEND,1,B,U,7.0
2018,0,NONSEND,NONSEND,1,B,V,1.0
2018,0,NONSEND,NONSEND,1,B,Y,2.0
2018,0,NONSEND,NONSEND,1,F,T,3.0
2018,0,NONSEND,NONSEND,1,F,Y,1.0
2018,0,NONSEND,NONSEND,1,J,Y,1.0
2018,0,NONSEND,NONSEND,1,K,T,1.0
2018,0,NONSEND,NONSEND,1,Q,U,1.0
2018,0,P,T,1,A,T,2.0
2018,0,P,T,1,B,T,1.0
2018,0,Q,T,1,A,T,1.0
2018,0,Q,T,1,B,T,5.0
2018,0,Q,U,1,B,U,1.0
2018,1,A,T,2,A,T,4.0
2018,1,A,U,2,A,U,7.0
2018,1,B,T,2,A,T,5.0
2018,1,B,T,2,B,T,31.0
2018,1,B,T,2,NONSEND,NONSEND,2.0
2018,1,B,U,2,B,U,18.0
2018,1,B,U,2,J,U,1.0
2018,1,B,U,2,L,U,1.0
2018,1,B,V,2,B,V,4.0
2018,1,B,W,2,B,W,1.0
2018,1,B,Y,2,B,Y,4.0
2018,1,F,T,2,F,T,3.0
2018,1,F,Y,2,A,Y,1.0
2018,1,F,Y,2,F,Y,7.0
2018,1,J,T,2,J,T,1.0
2018,1,NONSEND,NONSEND,2,B,T,25.0
2018,1,NONSEND,NONSEND,2,B,U,5.0
2018,1,NONSEND,NONSEND,2,B,X,3.0
2018,1,NONSEND,NONSEND,2,B,Y,2.0
2018,1,NONSEND,NONSEND,2,F,T,3.0
2018,1,NONSEND,NONSEND,2,F,U,1.0
2018,1,NONSEND,NONSEND,2,F,Y,2.0
2018,1,NONSEND,NONSEND,2,I,T,1.0
2018,2,A,T,3,A,T,15.0
2018,2,A,T,3,NONSEND,NONSEND,1.0
2018,2,A,U,3,A,U,12.0
2018,2,A,Y,3,A,Y,2.0
2018,2,A,Y,3,NONSEND,NONSEND,1.0
2018,2,B,T,3,A,T,4.0
2018,2,B,T,3,B,T,61.0
2018,2,B,T,3,F,T,1.0
2018,2,B,T,3,J,T,1.0
2018,2,B,T,3,NONSEND,NONSEND,2.0
2018,2,B,U,3,B,U,17.0
2018,2,B,X,3,B,X,1.0
2018,2,B,Y,3,B,Y,7.0
2018,2,F,T,3,A,T,1.0
2018,2,F,T,3,E,T,1.0
2018,2,F,T,3,F,T,8.0
2018,2,F,Y,3,F,Y,4.0
2018,2,I,T,3,I,T,1.0
2018,2,J,U,3,J,U,4.0
2018,2,NONSEND,NONSEND,3,B,T,13.0
2018,2,NONSEND,NONSEND,3,B,U,4.0
2018,2,NONSEND,NONSEND,3,B,X,1.0
2018,2,NONSEND,NONSEND,3,B,Y,1.0
2018,2,NONSEND,NONSEND,3,F,T,1.0
2018,2,R,U,3,R,U,1.0
2018,3,A,T,4,A,T,17.0
2018,3,A,U,4,A,U,14.0
2018,3,A,X,4,A,X,3.0
2018,3,A,Y,4,A,Y,2.0
2018,3,B,T,4,A,T,1.0
2018,3,B,T,4,B,T,48.0
2018,3,B,T,4,F,T,1.0
2018,3,B,T,4,NONSEND,NONSEND,3.0
2018,3,B,U,4,A,U,1.0
2018,3,B,U,4,B,U,21.0
2018,3,B,U,4,J,U,1.0
2018,3,B,U,4,NONSEND,NONSEND,1.0
2018,3,B,V,4,B,V,2.0
2018,3,B,X,4,B,X,2.0
2018,3,B,Y,4,B,Y,7.0
2018,3,F,T,4,B,T,1.0
2018,3,F,T,4,F,T,6.0
2018,3,F,Y,4,F,Y,5.0
2018,3,G,Y,4,G,Y,2.0
2018,3,I,X,4,I,X,1.0
2018,3,J,U,4,J,U,2.0
2018,3,J,V,4,B,V,1.0
2018,3,K,U,4,K,U,1.0
2018,3,L,T,4,L,T,2.0
2018,3,L,Y,4,NONSEND,NONSEND,2.0
2018,3,NONSEND,NONSEND,4,A,X,1.0
2018,3,NONSEND,NONSEND,4,B,T,7.0
2018,3,NONSEND,NONSEND,4,B,U,2.0
2018,3,NONSEND,NONSEND,4,B,X,3.0
2018,3,NONSEND,NONSEND,4,B,Y,1.0
2018,3,NONSEND,NONSEND,4,R,U,1.0
2018,4,A,T,5,A,T,15.0
2018,4,A,U,5,A,U,1.0
2018,4,A,X,5,A,X,3.0
2018,4,A,Y,5,A,Y,3.0
2018,4,B,T,5,A,T,2.0
2018,4,B,T,5,B,T,63.0
2018,4,B,T,5,L,T,1.0
2018,4,B,U,5,B,U,9.0
2018,4,B,X,5,B,X,7.0
2018,4,B,Y,5,B,Y,6.0
2018,4,E,T,5,E,T,1.0
2018,4,E,U,5,E,U,2.0
2018,4,F,T,5,F,T,6.0
2018,4,F,Y,5,F,Y,11.0
2018,4,H,T,5,H,T,1.0
2018,4,I,V,5,I,V,2.0
2018,4,I,X,5,I,X,2.0
2018,4,J,U,5,J,U,1.0
2018,4,K,T,5,K,T,1.0
2018,4,L,U,5,L,U,1.0
2018,4,L,X,5,L,X,2.0
2018,4,NONSEND,NONSEND,5,A,X,1.0
2018,4,NONSEND,NONSEND,5,B,T,5.0
2018,4,NONSEND,NONSEND,5,B,U,3.0
2018,4,NONSEND,NONSEND,5,B,X,1.0
2018,4,NONSEND,NONSEND,5,B,Y,1.0
2018,4,NONSEND,NONSEND,5,E,T,1.0
2018,4,NONSEND,NONSEND,5,F,T,1.0
2018,4,R,T,5,R,T,2.0
2018,5,A,T,6,A,T,23.0
2018,5,A,U,6,A,U,11.0
2018,5,A,X,6,A,X,3.0
2018,5,A,Y,6,A,Y,1.0
2018,5,B,T,6,B,T,60.0
2018,5,B,T,6,NONSEND,NONSEND,2.0
2018,5,B,U,6,B,U,12.0
2018,5,B,X,6,B,X,5.0
2018,5,B,Y,6,B,Y,6.0
2018,5,E,T,6,E,T,2.0
2018,5,F,T,6,F,T,12.0
2018,5,F,Y,6,F,Y,3.0
2018,5,H,T,6,H,T,4.0
2018,5,I,U,6,I,U,2.0
2018,5,I,V,6,I,V,1.0
2018,5,J,T,6,J,T,1.0
2018,5,J,U,6,J,U,1.0
2018,5,K,T,6,K,T,1.0
2018,5,L,T,6,L,T,1.0
2018,5,L,U,6,L,U,1.0
2018,5,NONSEND,NONSEND,6,A,T,1.0
2018,5,NONSEND,NONSEND,6,A,X,1.0
2018,5,NONSEND,NONSEND,6,B,T,7.0
2018,5,NONSEND,NONSEND,6,B,U,3.0
2018,5,NONSEND,NONSEND,6,B,X,1.0
2018,5,NONSEND,NONSEND,6,B,Y,1.0
2018,6,A,T,7,A,T,23.0
2018,6,A,U,7,A,U,7.0
2018,6,A,X,7,A,X,3.0
2018,6,A,Y,7,A,Y,2.0
2018,6,B,T,7,A,T,2.0
2018,6,B,T,7,B,T,79.0
2018,6,B,T,7,L,T,2.0
2018,6,B,T,7,NONSEND,NONSEND,1.0
2018,6,B,U,7,A,U,1.0
2018,6,B,U,7,B,U,14.0
2018,6,B,V,7,B,V,3.0
2018,6,B,X,7,B,X,7.0
2018,6,B,X,7,E,X,1.0
2018,6,B,X,7,NONSEND,NONSEND,1.0
2018,6,B,Y,7,B,Y,8.0
2018,6,E,V,7,E,V,1.0
2018,6,E,X,7,E,X,1.0
2018,6,F,T,7,A,T,1.0
2018,6,F,T,7,F,T,8.0
2018,6,F,U,7,F,U,2.0
2018,6,F,Y,7,F,Y,3.0
2018,6,G,U,7,G,U,2.0
2018,6,G,Y,7,G,Y,1.0
2018,6,L,T,7,L,T,2.0
2018,6,L,U,7,L,U,1.0
2018,6,L,Y,7,NONSEND,NONSEND,1.0
2018,6,NONSEND,NONSEND,7,A,T,1.0
2018,6,NONSEND,NONSEND,7,A,U,1.0
2018,6,NONSEND,NONSEND,7,A,X,2.0
2018,6,NONSEND,NONSEND,7,B,T,4.0
2018,6,NONSEND,NONSEND,7,B,U,2.0
2018,6,NONSEND,NONSEND,7,B,X,2.0
2018,6,NONSEND,NONSEND,7,B,Y,1.0
2018,6,O,Y,7,O,Y,1.0
2018,7,A,T,8,A,T,18.0
2018,7,A,U,8,A,U,7.0
2018,7,A,X,8,A,X,1.0
2018,7,A,X,8,B,X,2.0
2018,7,A,X,8,D,X,2.0
2018,7,B,T,8,A,T,2.0
2018,7,B,T,8,B,T,59.0
2018,7,B,T,8,G,T,1.0
2018,7,B,T,8,I,T,1.0
2018,7,B,T,8,NONSEND,NONSEND,1.0
2018,7,B,U,8,A,U,1.0
2018,7,B,U,8,B,U,14.0
2018,7,B,V,8,B,V,1.0
2018,7,B,X,8,B,X,5.0
2018,7,B,Y,8,B,Y,6.0
2018,7,B,Y,8,F,Y,1.0
2018,7,B,Y,8,G,Y,1.0
2018,7,B,Y,8,I,Y,1.0
2018,7,D,X,8,D,X,1.0
2018,7,E,T,8,E,T,1.0
2018,7,F,T,8,B,T,3.0
2018,7,F,T,8,F,T,1.0
2018,7,F,T,8,NONSEND,NONSEND,1.0
2018,7,F,Y,8,F,Y,3.0
2018,7,H,U,8,H,U,1.0
2018,7,J,U,8,J,U,2.0
2018,7,K,T,8,K,T,1.0
2018,7,L,T,8,L,T,1.0
2018,7,L,U,8,L,U,1.0
2018,7,NONSEND,NONSEND,8,B,T,2.0
2018,7,NONSEND,NONSEND,8,B,U,2.0
2018,7,NONSEND,NONSEND,8,B,X,2.0
2018,7,NONSEND,NONSEND,8,B,Y,1.0
2018,7,NONSEND,NONSEND,8,J,V,1.0
2018,7,NONSEND,NONSEND,8,L,T,1.0
2018,7,O,Y,8,O,Y,1.0
2018,7,R,U,8,R,U,1.0
2018,7,R,W,8,R,W,1.0
2018,8,A,T,9,A,T,19.0
2018,8,A,T,9,E,T,1.0
2018,8,A,U,9,A,U,2.0
2018,8,A,V,9,A,V,1.0
2018,8,A,X,9,A,X,1.0
2018,8,A,X,9,NONSEND,NONSEND,1.0
2018,8,A,Y,9,A,Y,1.0
2018,8,B,T,9,A,T,1.0
2018,8,B,T,9,B,T,48.0
2018,8,B,T,9,G,T,1.0
2018,8,B,T,9,J,T,1.0
2018,8,B,T,9,NONSEND,NONSEND,1.0
2018,8,B,U,9,B,U,27.0
2018,8,B,V,9,B,V,2.0
2018,8,B,X,9,A,X,1.0
2018,8,B,X,9,B,X,6.0
2018,8,B,X,9,J,X,1.0
2018,8,B,X,9,NONSEND,NONSEND,1.0
2018,8,B,Y,9,B,Y,8.0
2018,8,B,Y,9,H,Y,1.0
