need,setting,cost
CI,EO,0
CI,EYS,0
CI,FEC,0
CI,IMS,0
CI,ISS,0
CI,ISSR,0
CI,MAP,0
CI,MMS,0
CI,MMSIB,0
CI,MMSOB,0
CI,MSSIB,0
CI,MSSOB,0
CI,MSSR,0
CI,MU,0
CI,MUOB,0
CI,NMSS,0
CI,NMSSR,0
CI,OOE,0
CL,EO,0
CL,EYS,0
CL,FEC,0
CL,IMS,0
CL,ISS,0
CL,ISSR,0
CL,MAP,0
CL,MMS,0
CL,MMSIB,0
CL,MMSOB,0
CL,MSSIB,0
CL,MSSOB,0
CL,MSSR,0
CL,MU,0
CL,MUOB,0
CL,NMSS,0
CL,NMSSR,0
CL,OOE,0
OTH,EO,0
OTH,EYS,0
OTH,FEC,0
OTH,IMS,0
OTH,ISS,0
OTH,ISSR,0
OTH,MAP,1500
OTH,MMS,2000
OTH,MMSIB,2500
OTH,MMSOB,2500
OTH,MSSIB,3000
OTH,MSSOB,3000
OTH,MSSR,3000
OTH,MU,3500
OTH,MUOB,3500
OTH,NMSS,3500
OTH,NMSSR,3500
OTH,OOE,4000
SEMH,EO,4000
SEMH,EYS,4000
SEMH,FEC,4500
SEMH,IMS,4500
SEMH,ISS,4500
SEMH,ISSR,5000
SEMH,MAP,5000
SEMH,MMS,5000
SEMH,MMSIB,5000
SEMH,MMSOB,5000
SEMH,MSSIB,5000
SEMH,MSSOB,5500
SEMH,MSSR,5500
SEMH,MU,5500
SEMH,MUOB,5500
SEMH,NMSS,5500
SEMH,NMSSR,5500
SEMH,OOE,5500
SP,EO,6000
SP,EYS,6000
SP,FEC,6500
SP,IMS,6500
SP,ISS,7000
SP,ISSR,7000
SP,MAP,7500
SP,MMS,9000
SP,MMSIB,9000
SP,MMSOB,9500
SP,MSSIB,9500
SP,MSSOB,10000
SP,MSSR,10000
SP,MU,10000
SP,MUOB,11000
SP,NMSS,11000
SP,NMSSR,11500
SP,OOE,11500
UKN,EO,12000
UKN,EYS,12000
UKN,FEC,13000
UKN,IMS,14000
UKN,ISS,15000
UKN,ISSR,17000
UKN,MAP,18000
UKN,MMS,19000
UKN,MMSIB,21000
UKN,MMSOB,21500
UKN,MSSIB,24000
UKN,MSSOB,24500
UKN,MSSR,26000
UKN,MU,26000
UKN,MUOB,26500
UKN,NMSS,27500
UKN,NMSSR,58500
UKN,OOE,63500
